PROBE_ID	7677153059_A.VALUE	7677153059_A.Detection Pval
ILMN_1762337	96.77692	0.6805195
ILMN_2055271	169.2653	0.02207792
ILMN_1736007	98.7549	0.5727273
ILMN_2383229	99.55362	0.5207792
ILMN_1806310	96.40121	0.7025974
ILMN_1779670	101.9667	0.3909091
ILMN_1653355	102.1873	0.3818182
ILMN_1717783	90.46209	0.9662338
ILMN_1705025	96.86799	0.6727273
ILMN_1814316	101.4111	0.4233766
ILMN_2359168	101.0101	0.4467532
ILMN_1731507	89.45988	0.9805195
ILMN_1787689	96.43591	0.7025974
ILMN_3241953	103.3464	0.3441558
ILMN_1745607	96.38073	0.7025974
ILMN_2136495	93.79424	0.864935
ILMN_1668111	98.73959	0.5766234
ILMN_2295559	103.3397	0.3441558
ILMN_1735045	118.2506	0.0948052
ILMN_1680754	100.9899	0.4467532
ILMN_2375184	102.218	0.3792208
ILMN_1659452	103.2841	0.3467532
ILMN_1767388	185.671	0.01038961
ILMN_1675204	105.6792	0.2766234
ILMN_1673870	111.8499	0.1441558
ILMN_1755321	154.1798	0.03246753
ILMN_1698554	106.1444	0.2597403
ILMN_1814092	106.409	0.2545455
ILMN_1760414	102.6319	0.3688312
ILMN_2061446	154.3244	0.03246753
ILMN_1676336	127.476	0.06363636
ILMN_1752884	100.2619	0.4753247
ILMN_1660703	100.0206	0.4883117
ILMN_1668851	94.07535	0.8428571
ILMN_2270015	96.16724	0.7181818
ILMN_1809959	98.66703	0.5779221
ILMN_2357031	93.4631	0.8805195
ILMN_1726986	127.1886	0.06363636
ILMN_3237396	169.2343	0.02207792
ILMN_1688755	341.4208	0
ILMN_1880387	97.36513	0.638961
ILMN_1689211	100.3181	0.4753247
ILMN_1653165	136.2006	0.04415584
ILMN_1729835	94.10535	0.8428571
ILMN_1662364	247.1115	0.002597403
ILMN_1674698	126.9251	0.06363636
ILMN_1700461	128.3374	0.05714286
ILMN_1784269	120.7455	0.08051948
ILMN_1698189	104.9418	0.2948052
ILMN_2096191	127.1378	0.06363636
ILMN_1678323	97.97755	0.6
ILMN_2157219	104.9484	0.2935065
ILMN_1703743	294.2033	0
ILMN_1687609	113.7488	0.1246753
ILMN_2068874	92.73742	0.9051948
ILMN_1699334	123.507	0.07402597
ILMN_1670117	100.4913	0.4662338
ILMN_1805104	101.2792	0.4350649
ILMN_2404407	92.32583	0.9194805
ILMN_1766054	523.2881	0
ILMN_1753388	105.6954	0.2753247
ILMN_2070570	94.35658	0.8298701
ILMN_2232084	109.3775	0.1896104
ILMN_1750250	95.87109	0.7402598
