PROBE_ID	7677153059_C.VALUE	7677153059_C.Detection Pval
ILMN_1762337	85.98819	0.4545455
ILMN_2055271	150.6803	0.02467532
ILMN_1736007	92.13073	0.2376623
ILMN_2383229	89.98199	0.2935065
ILMN_1806310	84.32581	0.5571429
ILMN_1779670	84.33952	0.5558441
ILMN_1653355	87.46562	0.3883117
ILMN_1717783	82.90279	0.6662338
ILMN_1705025	87.74219	0.3727273
ILMN_1814316	84.3272	0.5571429
ILMN_2359168	87.48843	0.3857143
ILMN_1731507	85.70008	0.4636364
ILMN_1787689	84.24752	0.5662338
ILMN_3241953	95.5084	0.1753247
ILMN_1745607	79.62433	0.8636364
ILMN_2136495	85.69334	0.4636364
ILMN_1668111	81.01538	0.7779221
ILMN_2295559	79.3707	0.8753247
ILMN_1735045	93.79807	0.2
ILMN_1680754	82.54294	0.6896104
ILMN_2375184	86.76865	0.4233766
ILMN_1659452	90.45656	0.2805195
ILMN_1767388	167.5148	0.01168831
ILMN_1675204	91.21488	0.2649351
ILMN_1673870	106.776	0.08571429
ILMN_1755321	143.0697	0.03116883
ILMN_1698554	88.94109	0.325974
ILMN_1814092	88.51317	0.3428572
ILMN_1760414	85.63053	0.4701299
ILMN_2061446	144.6936	0.03116883
ILMN_1676336	109.6971	0.07272727
ILMN_1752884	85.54163	0.4766234
ILMN_1660703	86.93607	0.4116883
ILMN_1668851	79.7877	0.8506494
ILMN_2270015	84.66837	0.5285714
ILMN_1809959	83.81209	0.5935065
ILMN_2357031	77.00696	0.9662338
ILMN_1726986	114.0719	0.05974026
ILMN_3237396	175.4508	0.009090909
ILMN_1688755	265.3114	0.001298701
ILMN_1880387	80.92525	0.787013
ILMN_1689211	89.14119	0.3155844
ILMN_1653165	138.5579	0.03506494
ILMN_1729835	82.96967	0.6623377
ILMN_1662364	321.6654	0
ILMN_1674698	123.6734	0.04935065
ILMN_1700461	131.9181	0.04155844
ILMN_1784269	129.7915	0.04415584
ILMN_1698189	118.4885	0.05454545
ILMN_2096191	153.4134	0.02077922
ILMN_1678323	82.40588	0.6987013
ILMN_2157219	86.5134	0.4337662
ILMN_1703743	264.4285	0.001298701
ILMN_1687609	112.4376	0.06363636
ILMN_2068874	85.15717	0.4974026
ILMN_1699334	117.3414	0.05454545
ILMN_1670117	84.13346	0.5766234
ILMN_1805104	102.0401	0.1064935
ILMN_2404407	92.23257	0.2337662
ILMN_1766054	463.6068	0
ILMN_1753388	86.61789	0.4311688
ILMN_2070570	82.94534	0.6623377
ILMN_2232084	95.98585	0.1701299
ILMN_1750250	82.77264	0.6779221
ILMN_2361400	79.71938	0.8571429
ILMN_1704579	85.6241	0.4701299
ILMN_1687636	94.5189	0.1935065
ILMN_1747627	137.14	0.03506494
ILMN_1758523	84.29059	0.561039
ILMN_1794965	88.74313	0.3285714
ILMN_1722286	82.28302	0.7
ILMN_1784176	94.36212	0.1948052
ILMN_1749001	93.17302	0.2103896
ILMN_1701551	87.55775	0.3818182
ILMN_1795507	84.72682	0.5246753
ILMN_1729894	86.57883	0.4337662
ILMN_1743205	387.1051	0
ILMN_2259319	91.61386	0.2506494
ILMN_2129886	82.62994	0.6883117
ILMN_1796801	161.7949	0.01428571
ILMN_1720501	94.3784	0.1948052
ILMN_1668446	82.98058	0.6623377
ILMN_1812070	116.6526	0.05454545
ILMN_2094875	110.5267	0.07012987
ILMN_1665730	157.1189	0.01818182
ILMN_2232066	93.05788	0.2116883
ILMN_1767349	95.83779	0.1701299
ILMN_1658257	88.96326	0.3233766
ILMN_2193980	135.3496	0.03636364
ILMN_1687840	172.4895	0.009090909
ILMN_2102422	86.51962	0.4337662
ILMN_1788928	92.11723	0.2376623
ILMN_2343047	110.557	0.07012987
ILMN_2343048	87.97071	0.3623376
ILMN_2335302	82.34572	0.7
ILMN_1802404	105.336	0.08961039
ILMN_1776119	141.1761	0.03376623
ILMN_2358714	80.16397	0.8324676
ILMN_1732140	117.8465	0.05454545
ILMN_1713008	83.82063	0.5935065
ILMN_1762093	96.34656	0.1662338
ILMN_1709092	109.0049	0.07792208
ILMN_1678409	88.79049	0.3285714
ILMN_1774344	89.27723	0.312987
ILMN_1676278	96.58562	0.1636364
ILMN_1717466	99.38686	0.1272727
ILMN_1677814	184.3682	0.009090909
ILMN_1788457	98.82085	0.138961
ILMN_2194009	96.16833	0.1688312
ILMN_2302358	81.50313	0.7454545
ILMN_1706531	171.1629	0.01168831
ILMN_1651964	141.0784	0.03376623
ILMN_1725675	88.66504	0.3350649
ILMN_1778352	81.30315	0.761039
ILMN_1725414	87.79841	0.3701299
ILMN_2293902	81.45014	0.7480519
ILMN_1801521	81.66026	0.7363636
ILMN_2406654	98.66286	0.1402597
ILMN_3246902	83.11658	0.6454545
ILMN_3244070	106.0247	0.08571429
ILMN_1767129	92.47198	0.2285714
ILMN_1746196	79.53362	0.8714285
ILMN_2366473	84.29868	0.561039
ILMN_1751453	81.77874	0.7246753
ILMN_1772189	109.6275	0.07272727
ILMN_1652959	85.55619	0.4753247
ILMN_2198897	79.91691	0.8454546
ILMN_1674032	104.0404	0.09350649
ILMN_1737656	99.01669	0.1350649
