PROBE_ID	7677153059_D.VALUE	7677153059_D.Detection Pval
ILMN_1762337	104.18	0.3974026
ILMN_2055271	200.3327	0.01168831
ILMN_1736007	109.934	0.2597403
ILMN_2383229	112.1058	0.2194805
ILMN_1806310	93.39015	0.9233766
ILMN_1779670	100.4901	0.5324675
ILMN_1653355	107.4543	0.3064935
ILMN_1717783	85.63492	0.9987013
ILMN_1705025	107.3124	0.3077922
ILMN_1814316	103.2834	0.4337662
ILMN_2359168	111.942	0.2220779
ILMN_1731507	97.17916	0.7181818
ILMN_1787689	98.67572	0.6337662
ILMN_3241953	111.8324	0.2233766
ILMN_1745607	93.29382	0.9272727
ILMN_2136495	101.7751	0.4857143
ILMN_1668111	104.8168	0.3805195
ILMN_2295559	105.0297	0.3727273
ILMN_1735045	119.0495	0.1402597
ILMN_1680754	104.8745	0.3766234
ILMN_2375184	94.35018	0.8805195
ILMN_1659452	101.1275	0.5077922
ILMN_1767388	211.4977	0.007792208
ILMN_1675204	108.7312	0.2792208
ILMN_1673870	118.5875	0.1454545
ILMN_1755321	178.3709	0.02207792
ILMN_1698554	109.6245	0.2623377
ILMN_1814092	102.3542	0.4558442
ILMN_1760414	110.6749	0.2428571
ILMN_2061446	150.1056	0.04675325
ILMN_1676336	125.7035	0.1012987
ILMN_1752884	98.29222	0.648052
ILMN_1660703	100.4431	0.5324675
ILMN_1668851	94.95097	0.8467532
ILMN_2270015	95.65998	0.8090909
ILMN_1809959	89.93617	0.9792208
ILMN_2357031	94.22978	0.8844156
ILMN_1726986	135.4776	0.06493507
ILMN_3237396	149.4217	0.04675325
ILMN_1688755	229.7306	0.005194805
ILMN_1880387	96.82169	0.7402598
ILMN_1689211	114.1286	0.1987013
ILMN_1653165	124.9334	0.1038961
ILMN_1729835	106.1492	0.3376623
ILMN_1662364	212.2606	0.007792208
ILMN_1674698	113.8503	0.2051948
ILMN_1700461	117.7871	0.1467533
ILMN_1784269	117.9622	0.1454545
ILMN_1698189	119.5687	0.1363636
ILMN_2096191	132.1753	0.07402597
ILMN_1678323	100.2561	0.5441558
ILMN_2157219	106.5368	0.3246753
ILMN_1703743	254.2664	0.003896104
ILMN_1687609	126.7691	0.0961039
ILMN_2068874	99.28131	0.5961039
ILMN_1699334	114.3222	0.1948052
ILMN_1670117	102.3894	0.4532467
ILMN_1805104	107.0509	0.3103896
ILMN_2404407	106.1407	0.338961
ILMN_1766054	1199.664	0
ILMN_1753388	99.58817	0.5805195
ILMN_2070570	97.67707	0.6831169
ILMN_2232084	113.5319	0.2077922
ILMN_1750250	101.5023	0.4974026
ILMN_2361400	85.12923	0.9987013
ILMN_1704579	104.0168	0.4012987
ILMN_1687636	117.6687	0.151948
ILMN_1747627	159.1328	0.03766234
ILMN_1758523	101.7397	0.4857143
ILMN_1794965	112.2216	0.2194805
ILMN_1722286	100.3452	0.5376623
ILMN_1784176	108.0469	0.2909091
ILMN_1749001	98.71362	0.6246753
ILMN_1701551	105.5208	0.3584416
ILMN_1795507	95.35652	0.825974
ILMN_1729894	102.6211	0.448052
ILMN_1743205	268.6208	0.003896104
ILMN_2259319	101.4543	0.4974026
ILMN_2129886	97.96873	0.6701299
ILMN_1796801	174.2632	0.02597403
ILMN_1720501	109.9932	0.2571429
ILMN_1668446	101.6436	0.4922078
ILMN_1812070	109.4428	0.2649351
ILMN_2094875	110.7028	0.2428571
ILMN_1665730	151.1537	0.04285714
ILMN_2232066	102.9479	0.4402598
ILMN_1767349	106.0273	0.3441558
ILMN_1658257	108.6357	0.2831169
ILMN_2193980	168.1422	0.03116883
ILMN_1687840	137.3595	0.06233766
ILMN_2102422	96.34029	0.7805195
ILMN_1788928	106.0698	0.3441558
ILMN_2343047	124.8986	0.1038961
ILMN_2343048	97.60133	0.6909091
ILMN_2335302	98.2179	0.651948
ILMN_1802404	111.6256	0.225974
ILMN_1776119	143.1304	0.05064935
ILMN_2358714	95.79427	0.8077922
ILMN_1732140	149.0031	0.04675325
ILMN_1713008	104.0482	0.4
ILMN_1762093	114.3328	0.1948052
ILMN_1709092	125.297	0.1038961
ILMN_1678409	109.3995	0.2649351
ILMN_1774344	103.8527	0.4064935
ILMN_1676278	117.7871	0.1467533
ILMN_1717466	115.7541	0.1714286
ILMN_1677814	162.8602	0.03506494
ILMN_1788457	113.1037	0.212987
ILMN_2194009	109.9546	0.2597403
ILMN_2302358	94.16939	0.8883117
ILMN_1706531	160.1536	0.03766234
ILMN_1651964	144.389	0.05064935
ILMN_1725675	101.7999	0.4844156
ILMN_1778352	102.4647	0.4506494
ILMN_1725414	100.719	0.5233766
ILMN_2293902	96.22084	0.7831169
ILMN_1801521	100.7893	0.5233766
ILMN_2406654	130.3885	0.07922078
ILMN_3246902	105.0274	0.3727273
ILMN_3244070	128.6576	0.08571429
ILMN_1767129	106.4119	0.325974
ILMN_1746196	95.15228	0.8350649
ILMN_2366473	101.9526	0.4779221
ILMN_1751453	97.25497	0.7103896
ILMN_1772189	115.5384	0.174026
ILMN_1652959	102.8211	0.4415585
ILMN_2198897	94.04774	0.8935065
ILMN_1674032	107.1568	0.3090909
ILMN_1737656	138.688	0.05974026
ILMN_2343917	115.8688	0.1714286
ILMN_1746032	99.78674	0.5688311
ILMN_1651501	284.4883	0.001298701
ILMN_2330267	134.9005	0.06623377
ILMN_1676846	138.4436	0.05974026
ILMN_2392635	134.5291	0.06623377
ILMN_1763875	216.2136	0.007792208
ILMN_2284941	94.71265	0.8675325
ILMN_1781999	112.6147	0.2155844
ILMN_1669201	107.8124	0.2922078
ILMN_1810085	113.6075	0.2077922
ILMN_2262362	97.07999	0.7246753
ILMN_1743638	96.09406	0.7974026
ILMN_1658176	138.6993	0.05974026
ILMN_2329927	164.9503	0.03246753
ILMN_1794782	259.7918	0.003896104
ILMN_1695968	110.8787	0.2415584
ILMN_1789641	94.04071	0.8935065
ILMN_1779470	291.3318	0
ILMN_1716592	113.1944	0.2103896
ILMN_1680309	94.6232	0.8714285
ILMN_1743371	97.78906	0.6766234
ILMN_1770031	132.9971	0.07402597
ILMN_2338268	108.2373	0.287013
ILMN_1753912	99.12637	0.6038961
ILMN_1737475	98.51965	0.6402597
ILMN_1745116	108.137	0.2883117
ILMN_2318685	106.033	0.3441558
ILMN_2245305	120.0751	0.1324675
ILMN_1707925	108.3116	0.2844156
ILMN_1698311	104.9327	0.374026
ILMN_2367487	105.151	0.3688312
ILMN_1785285	100.6675	0.5233766
ILMN_2073969	99.8428	0.5636364
ILMN_1794213	234.5632	0.005194805
