PROBE_ID	7677153059_E.VALUE	7677153059_E.Detection Pval
ILMN_1762337	93.24792	0.3194805
ILMN_2055271	163.826	0.01688312
ILMN_1736007	85.33965	0.6909091
ILMN_2383229	94.63496	0.2779221
ILMN_1806310	80.80322	0.9376624
ILMN_1779670	82.24616	0.8844156
ILMN_1653355	94.688	0.274026
ILMN_1717783	83.40826	0.8272727
ILMN_1705025	90.46541	0.4064935
ILMN_1814316	93.71438	0.2974026
ILMN_2359168	93.83923	0.2948052
ILMN_1731507	83.93776	0.7922078
ILMN_1787689	85.07644	0.7051948
ILMN_3241953	94.02197	0.2909091
ILMN_1745607	84.17611	0.7714286
ILMN_2136495	87.56084	0.5415584
ILMN_1668111	85.69688	0.6636364
ILMN_2295559	84.27349	0.7623377
ILMN_1735045	111.65	0.0987013
ILMN_1680754	95.66607	0.2519481
ILMN_2375184	90.70646	0.387013
ILMN_1659452	97.32143	0.2220779
ILMN_1767388	182.3855	0.009090909
ILMN_1675204	91.81614	0.361039
ILMN_1673870	102.0922	0.1636364
ILMN_1755321	146.6811	0.03376623
ILMN_1698554	100.8095	0.1792208
ILMN_1814092	91.44874	0.3714286
ILMN_1760414	94.79865	0.2727273
ILMN_2061446	144.7292	0.03376623
ILMN_1676336	115.4355	0.08051948
ILMN_1752884	88.26765	0.5038961
ILMN_1660703	86.68078	0.6038961
ILMN_1668851	87.57449	0.5415584
ILMN_2270015	84.2166	0.7662337
ILMN_1809959	84.91592	0.7168831
ILMN_2357031	84.50415	0.7415584
ILMN_1726986	111.6718	0.0987013
ILMN_3237396	155.0314	0.02077922
ILMN_1688755	198.3989	0.007792208
ILMN_1880387	80.77419	0.9376624
ILMN_1689211	93.44498	0.3116883
ILMN_1653165	118.3873	0.06623377
ILMN_1729835	86.62485	0.6077922
ILMN_1662364	198.2797	0.007792208
ILMN_1674698	103.6644	0.1402597
ILMN_1700461	103.1876	0.1467533
ILMN_1784269	107.9955	0.1090909
ILMN_1698189	105.8899	0.1168831
ILMN_2096191	107.6219	0.1103896
ILMN_1678323	84.91886	0.7168831
ILMN_2157219	87.56861	0.5415584
ILMN_1703743	307.6636	0
ILMN_1687609	113.1744	0.08831169
ILMN_2068874	80.95813	0.9350649
ILMN_1699334	140.9444	0.03506494
ILMN_1670117	87.22305	0.5649351
ILMN_1805104	108.5453	0.1064935
ILMN_2404407	90.33058	0.412987
ILMN_1766054	481.2704	0
ILMN_1753388	87.48566	0.548052
ILMN_2070570	86.10256	0.638961
ILMN_2232084	94.29337	0.2844156
ILMN_1750250	92.15314	0.3519481
ILMN_2361400	88.31525	0.4987013
ILMN_1704579	83.31756	0.8298701
ILMN_1687636	93.38875	0.3142857
ILMN_1747627	192.8631	0.007792208
ILMN_1758523	94.6617	0.2753247
ILMN_1794965	95.15013	0.2636364
ILMN_1722286	80.98311	0.9337662
ILMN_1784176	93.20689	0.3207792
ILMN_1749001	85.64494	0.6688312
ILMN_1701551	87.58147	0.5415584
ILMN_1795507	87.85036	0.5246753
ILMN_1729894	87.89915	0.5207792
ILMN_1743205	413.9726	0
ILMN_2259319	89.13142	0.4610389
ILMN_2129886	87.4658	0.548052
ILMN_1796801	151.8068	0.02337662
ILMN_1720501	92.83179	0.3285714
ILMN_1668446	92.96872	0.3246753
ILMN_1812070	107.8935	0.1090909
ILMN_2094875	117.117	0.07272727
ILMN_1665730	139.001	0.03896104
ILMN_2232066	91.83625	0.3597403
ILMN_1767349	101.7471	0.1675325
ILMN_1658257	89.95302	0.4220779
ILMN_2193980	140.246	0.03636364
ILMN_1687840	141.6979	0.03506494
ILMN_2102422	85.42168	0.6857143
ILMN_1788928	97.36008	0.2220779
ILMN_2343047	109.3813	0.1051948
ILMN_2343048	88.86082	0.474026
ILMN_2335302	81.63686	0.9064935
ILMN_1802404	107.7123	0.1090909
ILMN_1776119	120.805	0.05844156
ILMN_2358714	84.58817	0.738961
ILMN_1732140	134.2857	0.04155844
ILMN_1713008	89.31195	0.4532467
ILMN_1762093	100.8402	0.1792208
ILMN_1709092	119.1206	0.06493507
ILMN_1678409	92.2973	0.3467532
ILMN_1774344	87.92723	0.5194805
ILMN_1676278	104.4937	0.1298701
ILMN_1717466	100.1477	0.1818182
ILMN_1677814	203.0234	0.006493506
ILMN_1788457	138.707	0.03896104
ILMN_2194009	118.6238	0.06623377
ILMN_2302358	79.70422	0.9701298
ILMN_1706531	155.508	0.02077922
ILMN_1651964	123.0878	0.05714286
ILMN_1725675	89.91144	0.4233766
ILMN_1778352	85.80642	0.6584415
ILMN_1725414	88.80984	0.4753247
ILMN_2293902	84.62311	0.7337663
ILMN_1801521	85.85325	0.6545454
ILMN_2406654	103.2732	0.1454545
ILMN_3246902	89.88236	0.4246753
ILMN_3244070	110.8898	0.1025974
ILMN_1767129	96.27815	0.2350649
ILMN_1746196	90.98785	0.3805195
ILMN_2366473	86.55479	0.6103896
ILMN_1751453	86.9181	0.5922078
ILMN_1772189	118.2752	0.06623377
ILMN_1652959	83.73951	0.8077922
ILMN_2198897	83.86128	0.7987013
