PROBE_ID	7677153059_H.VALUE	7677153059_H.Detection Pval
ILMN_1762337	80.86552	0.3727273
ILMN_2055271	149.3594	0.02207792
ILMN_1736007	84.1391	0.2818182
ILMN_2383229	92.24202	0.1675325
ILMN_1806310	75.11986	0.6454545
ILMN_1779670	74.92451	0.6532468
ILMN_1653355	83.14838	0.3077922
ILMN_1717783	73.90321	0.7090909
ILMN_1705025	81.69175	0.3428572
ILMN_1814316	81.27789	0.361039
ILMN_2359168	81.39023	0.3558442
ILMN_1731507	74.04163	0.6974026
ILMN_1787689	78.81187	0.4558442
ILMN_3241953	86.30921	0.238961
ILMN_1745607	70.92228	0.9116883
ILMN_2136495	74.58099	0.6662338
ILMN_1668111	73.16006	0.7649351
ILMN_2295559	76.65865	0.5636364
ILMN_1735045	96.44012	0.1285714
ILMN_1680754	88.26962	0.2064935
ILMN_2375184	73.08029	0.7701299
ILMN_1659452	86.15195	0.2402597
ILMN_1767388	187.2599	0.005194805
ILMN_1675204	83.64621	0.2974026
ILMN_1673870	92.83469	0.1584416
ILMN_1755321	147.1489	0.02337662
ILMN_1698554	93.35286	0.1532468
ILMN_1814092	81.52815	0.3480519
ILMN_1760414	85.28417	0.2597403
ILMN_2061446	160.4332	0.01428571
ILMN_1676336	117.8578	0.04805195
ILMN_1752884	76.46114	0.5727273
ILMN_1660703	79.84853	0.4116883
ILMN_1668851	81.37597	0.3558442
ILMN_2270015	70.11532	0.9415584
ILMN_1809959	70.95248	0.9103896
ILMN_2357031	66.58849	0.9987013
ILMN_1726986	100.8082	0.09740259
ILMN_3237396	163.4521	0.01428571
ILMN_1688755	198.5832	0.005194805
ILMN_1880387	66.60732	0.9987013
ILMN_1689211	79.67107	0.4194805
ILMN_1653165	118.1739	0.04805195
ILMN_1729835	73.00033	0.7779221
ILMN_1662364	202.9412	0.005194805
ILMN_1674698	83.27385	0.3038961
ILMN_1700461	100.005	0.1038961
ILMN_1784269	97.78161	0.1233766
ILMN_1698189	99.67193	0.1103896
ILMN_2096191	121.6898	0.04545455
ILMN_1678323	73.64094	0.725974
ILMN_2157219	78.12318	0.4857143
ILMN_1703743	304.0438	0
ILMN_1687609	116.3108	0.05194805
ILMN_2068874	75.13846	0.6441559
ILMN_1699334	117.7965	0.04805195
ILMN_1670117	74.78526	0.6558442
ILMN_1805104	105.6688	0.08441558
ILMN_2404407	93.0181	0.1558442
ILMN_1766054	499.7162	0
ILMN_1753388	81.89465	0.3363636
ILMN_2070570	73.91096	0.7077922
ILMN_2232084	90.25877	0.1844156
ILMN_1750250	75.12576	0.6441559
ILMN_2361400	73.8364	0.7142857
ILMN_1704579	81.01648	0.3701299
ILMN_1687636	95.31566	0.1337662
ILMN_1747627	202.7465	0.005194805
ILMN_1758523	81.90898	0.3350649
ILMN_1794965	87.0395	0.2246753
ILMN_1722286	72.66741	0.7974026
ILMN_1784176	89.21169	0.1987013
ILMN_1749001	78.34426	0.4805195
ILMN_1701551	76.80464	0.561039
ILMN_1795507	79.13902	0.4402598
ILMN_1729894	74.80066	0.6545454
ILMN_1743205	411.3831	0
ILMN_2259319	87.4547	0.2142857
ILMN_2129886	74.12244	0.6922078
ILMN_1796801	169.3491	0.01038961
ILMN_1720501	89.67052	0.1935065
ILMN_1668446	81.33881	0.3597403
ILMN_1812070	99.08058	0.1116883
ILMN_2094875	104.155	0.08571429
ILMN_1665730	144.6415	0.02727273
ILMN_2232066	86.59495	0.2324675
ILMN_1767349	88.73993	0.2025974
ILMN_1658257	79.1786	0.438961
ILMN_2193980	141.2599	0.02857143
ILMN_1687840	128.2615	0.03896104
ILMN_2102422	74.23416	0.6857143
ILMN_1788928	86.99324	0.2246753
ILMN_2343047	92.46216	0.1636364
ILMN_2343048	80.36092	0.3922078
ILMN_2335302	74.39814	0.674026
ILMN_1802404	109.5015	0.07012987
ILMN_1776119	132.9666	0.03506494
ILMN_2358714	67.02117	0.9974026
ILMN_1732140	112.1631	0.05974026
ILMN_1713008	76.44985	0.574026
ILMN_1762093	93.57658	0.1493506
ILMN_1709092	101.762	0.09350649
ILMN_1678409	77.60751	0.5207792
ILMN_1774344	81.53174	0.3480519
ILMN_1676278	93.65376	0.1493506
ILMN_1717466	104.0307	0.08571429
ILMN_1677814	209.0473	0.005194805
ILMN_1788457	144.4179	0.02727273
ILMN_2194009	113.9424	0.05584415
ILMN_2302358	67.03596	0.9974026
ILMN_1706531	164.3107	0.01428571
ILMN_1651964	131.2208	0.03506494
ILMN_1725675	73.14174	0.7649351
ILMN_1778352	83.65887	0.2974026
ILMN_1725414	81.73042	0.3428572
ILMN_2293902	76.48505	0.5727273
ILMN_1801521	74.57439	0.6688312
ILMN_2406654	89.61329	0.1948052
ILMN_3246902	84.5901	0.2701299
ILMN_3244070	103.5906	0.08831169
ILMN_1767129	85.33689	0.2584416
ILMN_1746196	78.60486	0.4623377
ILMN_2366473	72.44113	0.8220779
ILMN_1751453	69.42696	0.9584416
ILMN_1772189	106.4858	0.08311688
ILMN_1652959	80.87022	0.3727273
ILMN_2198897	73.2027	0.7623377
ILMN_1674032	82.50677	0.3220779
ILMN_1737656	106.3995	0.08441558
ILMN_2343917	94.5334	0.1415584
ILMN_1746032	78.54816	0.4649351
ILMN_1651501	243.1046	0.001298701
ILMN_2330267	131.6523	0.03506494
ILMN_1676846	131.3353	0.03506494
ILMN_2392635	127.9256	0.03896104
ILMN_1763875	240.8655	0.001298701
ILMN_2284941	90.41337	0.1818182
ILMN_1781999	104.6749	0.08571429
ILMN_1669201	86.14684	0.2402597
ILMN_1810085	100.737	0.0987013
ILMN_2262362	75.20698	0.6415585
ILMN_1743638	71.20998	0.9025974
ILMN_1658176	103.8585	0.08831169
ILMN_2329927	112.2151	0.05974026
ILMN_1794782	159.238	0.01428571
ILMN_1695968	79.58866	0.4207792
ILMN_1789641	73.26355	0.7597402
ILMN_1779470	256.7756	0
ILMN_1716592	86.33709	0.238961
ILMN_1680309	76.35596	0.5818182
ILMN_1743371	82.1692	0.3324675
ILMN_1770031	110.4058	0.06883117
ILMN_2338268	102.8872	0.08831169
ILMN_1753912	82.35934	0.325974
ILMN_1737475	91.62311	0.1714286
ILMN_1745116	91.71945	0.1714286
ILMN_2318685	91.45726	0.1714286
ILMN_2245305	101.4536	0.09350649
ILMN_1707925	81.1851	0.3649351
ILMN_1698311	80.23721	0.3935065
ILMN_2367487	81.09509	0.3688312
ILMN_1785285	78.85865	0.451948
ILMN_2073969	80.17533	0.3987013
ILMN_1794213	211.9638	0.005194805
ILMN_2227533	90.36306	0.1818182
ILMN_1769390	98.57885	0.1142857
ILMN_2403446	118.9828	0.04805195
ILMN_1787618	75.73342	0.6064935
ILMN_1723662	123.8206	0.04545455
ILMN_1801767	479.8869	0
ILMN_1700633	189.3913	0.005194805
ILMN_1655702	529.9125	0
ILMN_1706344	98.77177	0.1116883
ILMN_1719498	80.27676	0.3935065
ILMN_1712707	133.4041	0.03506494
ILMN_1699750	193.0676	0.005194805
ILMN_1739081	215.0002	0.005194805
ILMN_2329958	452.916	0
ILMN_1775944	75.78255	0.6051948
ILMN_1724497	115.3453	0.05454545
ILMN_1720988	82.40578	0.3233766
ILMN_1707274	70.10074	0.9415584
ILMN_1755658	155.6816	0.01688312
ILMN_1673639	75.8061	0.6051948
ILMN_1713732	179.4765	0.01038961
ILMN_1708922	129.5216	0.03766234
ILMN_2268241	81.95999	0.3337662
ILMN_1741628	79.0119	0.4454545
ILMN_1657870	106.5867	0.08311688
ILMN_2240003	84.24414	0.2766234
ILMN_1785424	282.4717	0
ILMN_1731610	91.51427	0.1714286
ILMN_1696682	82.16438	0.3337662
ILMN_2396672	161.3324	0.01428571
ILMN_1758825	119.7246	0.04805195
ILMN_1656940	102.9438	0.08831169
ILMN_1656979	109.8988	0.06883117
ILMN_1731433	231.6131	0.002597403
ILMN_1672878	762.9239	0
ILMN_1655114	117.4822	0.04805195
ILMN_1657045	76.55537	0.5688311
ILMN_1766991	77.75257	0.5077922
ILMN_1658083	90.73013	0.1792208
ILMN_1802096	1776.993	0
ILMN_2367165	1045.145	0
ILMN_1753370	119.1184	0.04805195
ILMN_1738921	475.8155	0
ILMN_1660199	130.074	0.03766234
ILMN_2331636	111.9105	0.06233766
ILMN_1772123	106.7892	0.08311688
ILMN_1667641	63.98796	1
ILMN_1763852	98.25919	0.1181818
ILMN_1687303	99.26062	0.1103896
ILMN_1761058	160.4666	0.01428571
ILMN_2225595	214.4269	0.005194805
ILMN_1724699	82.85419	0.3142857
ILMN_1775579	111.1207	0.06363636
ILMN_1660890	77.99261	0.4922078
ILMN_1778104	137.8214	0.03116883
ILMN_2053679	197.2798	0.005194805
ILMN_1795104	213.3363	0.005194805
ILMN_1740920	94.92648	0.1376623
ILMN_2263466	125.6407	0.04415584
ILMN_1806408	1351.918	0
ILMN_2352009	286.7588	0
ILMN_1693148	73.17274	0.7649351
ILMN_1808395	587.181	0
ILMN_3236270	435.7987	0
ILMN_1743847	86.12144	0.2415584
ILMN_1800008	160.7657	0.01428571
ILMN_2133799	79.91946	0.4077922
ILMN_1708672	134.569	0.03506494
ILMN_1665945	230.5801	0.002597403
ILMN_1676288	85.50909	0.2558441
ILMN_1693250	86.57097	0.2324675
ILMN_2295980	91.59479	0.1714286
ILMN_2410362	94.05405	0.1467533
ILMN_1684271	95.09122	0.1363636
ILMN_1726388	70.78143	0.9168831
ILMN_2106002	91.97334	0.1688312
ILMN_1779685	120.5451	0.04805195
ILMN_1665932	87.0463	0.2246753
ILMN_1769694	79.56	0.4207792
ILMN_1727251	94.34506	0.1467533
ILMN_1734479	88.20402	0.2077922
ILMN_2368728	119.3847	0.04805195
ILMN_2394897	78.33794	0.4805195
ILMN_2394902	87.61569	0.2142857
ILMN_2287535	89.72729	0.1922078
ILMN_1750295	100.3052	0.1012987
ILMN_3187680	128.0256	0.03896104
ILMN_3242266	92.40079	0.1649351
ILMN_1780630	128.2346	0.03896104
ILMN_1716480	137.5822	0.03246753
ILMN_1715192	87.51895	0.2142857
ILMN_2339410	69.45578	0.9571428
ILMN_1779984	76.49611	0.5714286
ILMN_1667018	93.29829	0.1532468
ILMN_1773243	71.61977	0.8805195
ILMN_3241214	106.1777	0.08441558
ILMN_3235340	98.9145	0.1116883
ILMN_1761000	88.34786	0.2064935
ILMN_3237774	158.2331	0.01558442
ILMN_2333219	70.98602	0.9103896
ILMN_1780485	104.4433	0.08571429
ILMN_1735471	164.9295	0.01298701
ILMN_1699636	366.9829	0
ILMN_2371379	367.5233	0
ILMN_1749014	252.9707	0.001298701
ILMN_1727091	76.44865	0.574026
ILMN_1771348	155.1076	0.01688312
ILMN_2134039	4285.977	0
ILMN_1750800	169.969	0.01038961
ILMN_1654861	121.112	0.04805195
ILMN_2121389	72.86295	0.7857143
ILMN_1715543	76.13844	0.5948052
ILMN_1739594	84.79477	0.2688312
ILMN_2353978	70.46117	0.9298701
ILMN_1785474	135.3959	0.03376623
ILMN_2188959	97.04492	0.125974
ILMN_1716237	123.084	0.04545455
ILMN_1764321	81.18125	0.3649351
ILMN_2156699	71.10446	0.9064935
ILMN_1784756	88.24459	0.2077922
ILMN_1728883	74.88139	0.6545454
ILMN_1740265	118.0827	0.04805195
ILMN_1788078	80.67005	0.3766234
ILMN_2252621	78.27227	0.4831169
ILMN_2332250	83.92135	0.2883117
ILMN_1719178	79.51482	0.4246753
ILMN_1679600	96.29447	0.1298701
ILMN_2367070	157.9406	0.01558442
