PROBE_ID	7677153059_I.VALUE	7677153059_I.Detection Pval
ILMN_1762337	79.80731	0.4038961
ILMN_2055271	164.1491	0.01818182
ILMN_1736007	85.46263	0.261039
ILMN_2383229	88.25905	0.2181818
ILMN_1806310	76.06229	0.548052
ILMN_1779670	71.33837	0.8415585
ILMN_1653355	78.74158	0.4324675
ILMN_1717783	71.59843	0.8181818
ILMN_1705025	82.14429	0.3363636
ILMN_1814316	83.43919	0.3025974
ILMN_2359168	81.11129	0.3649351
ILMN_1731507	72.98271	0.7324675
ILMN_1787689	75.56741	0.5727273
ILMN_3241953	102.8072	0.0987013
ILMN_1745607	72.26119	0.7792208
ILMN_2136495	71.27538	0.8441558
ILMN_1668111	73.5451	0.6935065
ILMN_2295559	74.80474	0.6116883
ILMN_1735045	94.04036	0.1662338
ILMN_1680754	79.51939	0.4103896
ILMN_2375184	73.78922	0.6857143
ILMN_1659452	80.42046	0.3844156
ILMN_1767388	196.6767	0.007792208
ILMN_1675204	79.75646	0.4051948
ILMN_1673870	89.94022	0.1987013
ILMN_1755321	147.2208	0.02857143
ILMN_1698554	91.32362	0.1896104
ILMN_1814092	82.88326	0.312987
ILMN_1760414	86.71913	0.2402597
ILMN_2061446	147.2232	0.02857143
ILMN_1676336	102.925	0.09740259
ILMN_1752884	74.56995	0.6298701
ILMN_1660703	79.7766	0.4038961
ILMN_1668851	70.49554	0.8779221
ILMN_2270015	71.49203	0.8311688
ILMN_1809959	68.16371	0.9727273
ILMN_2357031	69.41932	0.9324675
ILMN_1726986	104.7547	0.08961039
ILMN_3237396	152.8187	0.02337662
ILMN_1688755	222.7901	0.003896104
ILMN_1880387	75.07051	0.6012987
ILMN_1689211	83.27863	0.3051948
ILMN_1653165	122.1921	0.04935065
ILMN_1729835	73.39141	0.7012987
ILMN_1662364	331.7505	0
ILMN_1674698	104.6848	0.08961039
ILMN_1700461	112.7629	0.06103896
ILMN_1784269	121.2181	0.04935065
ILMN_1698189	109.8167	0.07142857
ILMN_2096191	155.5456	0.02077922
ILMN_1678323	73.33752	0.7051948
ILMN_2157219	79.2888	0.4155844
ILMN_1703743	276.1069	0
ILMN_1687609	97.77293	0.1350649
ILMN_2068874	79.78234	0.4038961
ILMN_1699334	117.1682	0.05064935
ILMN_1670117	71.792	0.8
ILMN_1805104	96.75043	0.1454545
ILMN_2404407	91.37019	0.1883117
ILMN_1766054	730.6373	0
ILMN_1753388	82.67365	0.3181818
ILMN_2070570	72.99923	0.7285714
ILMN_2232084	92.97086	0.174026
ILMN_1750250	77.13876	0.487013
ILMN_2361400	70.6542	0.8701299
ILMN_1704579	76.52827	0.5272727
ILMN_1687636	94.78519	0.161039
ILMN_1747627	133.5146	0.03766234
ILMN_1758523	80.54293	0.3805195
ILMN_1794965	86.71307	0.2402597
ILMN_1722286	77.41769	0.4779221
ILMN_1784176	80.6601	0.3753247
ILMN_1749001	84.83497	0.2675325
ILMN_1701551	77.90948	0.4610389
ILMN_1795507	74.16945	0.6610389
ILMN_1729894	79.62743	0.4077922
ILMN_1743205	222.6647	0.003896104
ILMN_2259319	88.36689	0.2181818
ILMN_2129886	69.87066	0.9090909
ILMN_1796801	169.716	0.01558442
ILMN_1720501	89.90233	0.1987013
ILMN_1668446	78.45213	0.4428571
ILMN_1812070	101.6433	0.1025974
ILMN_2094875	103.8335	0.09350649
ILMN_1665730	169.2057	0.01688312
ILMN_2232066	80.23641	0.3896104
ILMN_1767349	86.80605	0.2376623
ILMN_1658257	85.35436	0.2636364
ILMN_2193980	140.0676	0.02987013
ILMN_1687840	166.3613	0.01818182
ILMN_2102422	81.45803	0.3558442
ILMN_1788928	89.82195	0.1987013
ILMN_2343047	101.8203	0.1012987
ILMN_2343048	87.8811	0.2220779
ILMN_2335302	72.07111	0.787013
ILMN_1802404	99.94412	0.1168831
ILMN_1776119	129.7744	0.04155844
ILMN_2358714	70.81083	0.8597403
ILMN_1732140	125.1726	0.04415584
ILMN_1713008	69.80581	0.9155844
ILMN_1762093	96.9305	0.1441558
ILMN_1709092	108.7338	0.07402597
ILMN_1678409	77.00333	0.4935065
ILMN_1774344	81.28268	0.361039
ILMN_1676278	92.45039	0.1792208
ILMN_1717466	90.78559	0.1961039
ILMN_1677814	137.6909	0.03246753
ILMN_1788457	110.9783	0.06753246
ILMN_2194009	102.474	0.0987013
ILMN_2302358	74.71851	0.6181818
ILMN_1706531	177.8741	0.009090909
ILMN_1651964	151.1426	0.02597403
ILMN_1725675	73.40121	0.7
ILMN_1778352	72.77097	0.7480519
ILMN_1725414	76.91326	0.4961039
ILMN_2293902	66.50556	0.9896104
ILMN_1801521	74.95958	0.6064935
ILMN_2406654	94.17969	0.1649351
