PROBE_ID	7677153062_F.VALUE	7677153062_F.Detection Pval
ILMN_1762337	86.82955	0.2025974
ILMN_2055271	134.5004	0.03116883
ILMN_1736007	80.18549	0.3792208
ILMN_2383229	80.93367	0.3363636
ILMN_1806310	76.48643	0.5584416
ILMN_1779670	76.51348	0.5532467
ILMN_1653355	79.87415	0.3961039
ILMN_1717783	73.91314	0.7350649
ILMN_1705025	79.73811	0.4012987
ILMN_1814316	78.47162	0.4532467
ILMN_2359168	78.93587	0.4311688
ILMN_1731507	76.92188	0.5311688
ILMN_1787689	77.204	0.5142857
ILMN_3241953	95.44519	0.1181818
ILMN_1745607	70.32699	0.9350649
ILMN_2136495	74.93686	0.6675324
ILMN_1668111	75.06156	0.6649351
ILMN_2295559	78.36094	0.4584416
ILMN_1735045	96.65153	0.1103896
ILMN_1680754	83.69456	0.2714286
ILMN_2375184	70.392	0.9311689
ILMN_1659452	86.64698	0.2090909
ILMN_1767388	156.6603	0.01428571
ILMN_1675204	80.84502	0.3415585
ILMN_1673870	94.52144	0.1246753
ILMN_1755321	138.5156	0.02727273
ILMN_1698554	89.85728	0.1688312
ILMN_1814092	80.49316	0.3675325
ILMN_1760414	80.79639	0.3441558
ILMN_2061446	160.673	0.01428571
ILMN_1676336	103.8165	0.07922078
ILMN_1752884	71.75378	0.8844156
ILMN_1660703	82.97102	0.2818182
ILMN_1668851	70.98262	0.9155844
ILMN_2270015	72.62679	0.8363636
ILMN_1809959	72.0687	0.864935
ILMN_2357031	75.98702	0.6012987
ILMN_1726986	103.5127	0.08051948
ILMN_3237396	153.2651	0.01818182
ILMN_1688755	393.5793	0
ILMN_1880387	72.75401	0.825974
ILMN_1689211	80.49675	0.3675325
ILMN_1653165	158.9945	0.01428571
ILMN_1729835	75.24307	0.6558442
ILMN_1662364	345.1475	0
ILMN_1674698	117.5485	0.04415584
ILMN_1700461	112.3272	0.05064935
ILMN_1784269	140.7884	0.02727273
ILMN_1698189	107.2256	0.06623377
ILMN_2096191	164.9719	0.01428571
ILMN_1678323	76.74449	0.5389611
ILMN_2157219	82.79539	0.2857143
ILMN_1703743	273.9411	0
ILMN_1687609	100.0342	0.08961039
ILMN_2068874	74.67844	0.674026
ILMN_1699334	101.9151	0.08441558
ILMN_1670117	76.78534	0.5350649
ILMN_1805104	95.25793	0.1194805
ILMN_2404407	91.08395	0.1571429
ILMN_1766054	586.5193	0
ILMN_1753388	85.9913	0.2246753
ILMN_2070570	94.70029	0.1246753
ILMN_2232084	91.65959	0.1532468
ILMN_1750250	74.35224	0.7025974
ILMN_2361400	72.21223	0.8571429
ILMN_1704579	72.86348	0.8194805
ILMN_1687636	89.039	0.174026
ILMN_1747627	147.726	0.02207792
ILMN_1758523	82.77781	0.2883117
ILMN_1794965	88.07571	0.1844156
ILMN_1722286	73.58879	0.7584416
ILMN_1784176	93.60674	0.1285714
ILMN_1749001	85.61955	0.2298701
ILMN_1701551	88.9073	0.174026
ILMN_1795507	84.03946	0.2636364
ILMN_1729894	79.64725	0.4051948
ILMN_1743205	232.7384	0.001298701
ILMN_2259319	74.94701	0.6675324
ILMN_2129886	71.86526	0.8792208
ILMN_1796801	152.6166	0.01818182
ILMN_1720501	97.13454	0.1038961
ILMN_1668446	79.29179	0.4181818
ILMN_1812070	108.9629	0.05584415
ILMN_2094875	114.7917	0.04545455
ILMN_1665730	183.7007	0.01038961
ILMN_2232066	82.08252	0.3077922
ILMN_1767349	81.02843	0.3324675
ILMN_1658257	84.12167	0.2597403
ILMN_2193980	132.0276	0.03116883
ILMN_1687840	169.013	0.01298701
ILMN_2102422	71.76511	0.8844156
ILMN_1788928	79.6629	0.4038961
ILMN_2343047	102.3084	0.08181818
ILMN_2343048	100.5954	0.08571429
ILMN_2335302	78.29353	0.4610389
ILMN_1802404	102.4644	0.08181818
ILMN_1776119	129.1343	0.03506494
ILMN_2358714	70.60963	0.925974
ILMN_1732140	110.3509	0.05454545
ILMN_1713008	76.63047	0.5467532
ILMN_1762093	84.62043	0.2519481
ILMN_1709092	97.00617	0.1038961
ILMN_1678409	74.26614	0.7103896
ILMN_1774344	77.37713	0.5012987
ILMN_1676278	89.72563	0.1688312
ILMN_1717466	90.8404	0.1571429
ILMN_1677814	176.6721	0.01168831
ILMN_1788457	106.8845	0.06753246
ILMN_2194009	100.53	0.08571429
ILMN_2302358	71.10934	0.9090909
ILMN_1706531	185.5315	0.01038961
ILMN_1651964	177.223	0.01168831
ILMN_1725675	78.31203	0.4610389
ILMN_1778352	75.07	0.6649351
ILMN_1725414	81.96383	0.3090909
