PROBE_ID	7677153062_K.VALUE	7677153062_K.Detection Pval
ILMN_1762337	102.4759	0.2519481
ILMN_2055271	184.3645	0.007792208
ILMN_1736007	96.09283	0.4792208
ILMN_2383229	103.8951	0.225974
ILMN_1806310	92.68691	0.6935065
ILMN_1779670	91.13351	0.7948052
ILMN_1653355	95.51225	0.5077922
ILMN_1717783	90.68282	0.825974
ILMN_1705025	97.18282	0.4142857
ILMN_1814316	98.22372	0.3766234
ILMN_2359168	101.5655	0.2779221
ILMN_1731507	98.29012	0.3701299
ILMN_1787689	95.20389	0.5285714
ILMN_3241953	105.1509	0.2051948
ILMN_1745607	93.76066	0.6233766
ILMN_2136495	96.03724	0.4818182
ILMN_1668111	95.91331	0.487013
ILMN_2295559	90.11692	0.8597403
ILMN_1735045	107.0603	0.1714286
ILMN_1680754	97.49355	0.4038961
ILMN_2375184	91.92413	0.7506493
ILMN_1659452	98.2302	0.3753247
ILMN_1767388	180.4456	0.009090909
ILMN_1675204	96.55109	0.4441558
ILMN_1673870	101.8074	0.2727273
ILMN_1755321	180.0671	0.009090909
ILMN_1698554	104.8562	0.2090909
ILMN_1814092	99.72904	0.3233766
ILMN_1760414	95.48423	0.5077922
ILMN_2061446	170.2362	0.01428571
ILMN_1676336	124.3248	0.06363636
ILMN_1752884	95.6711	0.4961039
ILMN_1660703	95.07767	0.5311688
ILMN_1668851	87.49521	0.9558442
ILMN_2270015	90.12098	0.8597403
ILMN_1809959	89.10339	0.912987
ILMN_2357031	89.59525	0.8922078
ILMN_1726986	116.5569	0.0948052
ILMN_3237396	152.0196	0.02597403
ILMN_1688755	279.5496	0
ILMN_1880387	92.04489	0.7415584
ILMN_1689211	96.71124	0.4376623
ILMN_1653165	141.6831	0.03116883
ILMN_1729835	95.57597	0.5012987
ILMN_1662364	285.1011	0
ILMN_1674698	118.747	0.08701298
ILMN_1700461	125.1536	0.06103896
ILMN_1784269	129.8731	0.05194805
ILMN_1698189	112.2776	0.1233766
ILMN_2096191	139.4887	0.03636364
ILMN_1678323	93.35851	0.6506494
ILMN_2157219	95.88515	0.4896104
ILMN_1703743	273.1992	0
ILMN_1687609	113.2003	0.1194805
ILMN_2068874	96.39818	0.4571429
ILMN_1699334	117.007	0.09350649
ILMN_1670117	91.87543	0.7532467
ILMN_1805104	100.6801	0.2961039
ILMN_2404407	103.0501	0.238961
ILMN_1766054	337.1013	0
ILMN_1753388	94.89539	0.5441558
ILMN_2070570	93.94415	0.6090909
ILMN_2232084	107.7723	0.1662338
ILMN_1750250	95.45782	0.5090909
ILMN_2361400	94.08524	0.6012987
ILMN_1704579	88.39863	0.9376624
ILMN_1687636	107.7649	0.1662338
ILMN_1747627	147.918	0.02727273
ILMN_1758523	99.52048	0.3298701
ILMN_1794965	104.1923	0.2168831
ILMN_1722286	94.00627	0.6064935
ILMN_1784176	101.1613	0.2883117
ILMN_1749001	96.25272	0.4688312
ILMN_1701551	95.15414	0.5298702
ILMN_1795507	94.14932	0.5948052
ILMN_1729894	91.90527	0.7506493
ILMN_1743205	308.8016	0
ILMN_2259319	98.84676	0.3441558
ILMN_2129886	89.44892	0.8987013
ILMN_1796801	178.2372	0.009090909
ILMN_1720501	105.2719	0.2025974
ILMN_1668446	94.95071	0.5376623
ILMN_1812070	119.4825	0.08441558
ILMN_2094875	115.2015	0.1025974
ILMN_1665730	145.7136	0.02727273
ILMN_2232066	98.73061	0.3493507
ILMN_1767349	105.9269	0.1844156
ILMN_1658257	96.92202	0.425974
ILMN_2193980	148.7631	0.02727273
ILMN_1687840	140.6164	0.03246753
ILMN_2102422	96.92719	0.425974
ILMN_1788928	100.612	0.2974026
ILMN_2343047	107.2316	0.1675325
ILMN_2343048	103.1381	0.238961
ILMN_2335302	90.099	0.861039
