PROBE_ID	7677153059_F.VALUE	7677153059_F.Detection Pval
ILMN_1762337	83.50535	0.412987
ILMN_2055271	139.3649	0.02077922
ILMN_1736007	92.88713	0.1623377
ILMN_2383229	89.22485	0.2324675
ILMN_1806310	77.68968	0.812987
ILMN_1779670	79.47614	0.674026
ILMN_1653355	87.88793	0.2623377
ILMN_1717783	78.62957	0.7285714
ILMN_1705025	76.79829	0.8584415
ILMN_1814316	82.54559	0.4584416
ILMN_2359168	92.73049	0.1649351
ILMN_1731507	79.48389	0.6727273
ILMN_1787689	80.64019	0.5909091
ILMN_3241953	95.99409	0.1298701
ILMN_1745607	82.84366	0.4415585
ILMN_2136495	78.71711	0.7233766
ILMN_1668111	79.3463	0.6857143
ILMN_2295559	74.744	0.951948
ILMN_1735045	94.21009	0.1480519
ILMN_1680754	84.03571	0.3909091
ILMN_2375184	77.14557	0.8441558
ILMN_1659452	89.86485	0.2194805
ILMN_1767388	162.6191	0.01038961
ILMN_1675204	85.11407	0.3584416
ILMN_1673870	90.65324	0.2038961
ILMN_1755321	141.2883	0.01948052
ILMN_1698554	102.2904	0.08571429
ILMN_1814092	81.23392	0.5584416
ILMN_1760414	89.26047	0.2324675
ILMN_2061446	142.6165	0.01688312
ILMN_1676336	116.3945	0.04935065
ILMN_1752884	80.40193	0.6038961
ILMN_1660703	83.54041	0.4103896
ILMN_1668851	79.22384	0.6922078
ILMN_2270015	75.48569	0.9311689
ILMN_1809959	71.49153	0.9935065
ILMN_2357031	75.67986	0.9220779
ILMN_1726986	106.2278	0.06883117
ILMN_3237396	166.4834	0.01038961
ILMN_1688755	249.7178	0
ILMN_1880387	78.80135	0.7168831
ILMN_1689211	84.20771	0.3857143
ILMN_1653165	124.8739	0.03246753
ILMN_1729835	80.33334	0.6090909
ILMN_1662364	319.2761	0
ILMN_1674698	113.2481	0.05064935
ILMN_1700461	116.7972	0.04935065
ILMN_1784269	124.7338	0.03246753
ILMN_1698189	115.7735	0.04935065
ILMN_2096191	158.2324	0.01168831
ILMN_1678323	74.65081	0.9532468
ILMN_2157219	81.34467	0.548052
ILMN_1703743	270.7734	0
ILMN_1687609	112.1221	0.05194805
ILMN_2068874	77.83565	0.7961039
ILMN_1699334	114.7694	0.04935065
ILMN_1670117	79.23937	0.6922078
ILMN_1805104	102.2199	0.08571429
ILMN_2404407	89.84254	0.2194805
ILMN_1766054	666.3712	0
ILMN_1753388	85.37048	0.3467532
ILMN_2070570	85.43474	0.3441558
ILMN_2232084	91.91607	0.1792208
ILMN_1750250	79.42952	0.6792208
ILMN_2361400	80.04248	0.6363636
ILMN_1704579	78.63783	0.7285714
ILMN_1687636	91.44971	0.1857143
ILMN_1747627	158.7966	0.01038961
ILMN_1758523	94.00126	0.1493506
ILMN_1794965	97.31875	0.1168831
ILMN_1722286	83.02485	0.4311688
ILMN_1784176	93.5211	0.1545455
ILMN_1749001	93.37218	0.1584416
ILMN_1701551	81.08569	0.5636364
ILMN_1795507	80.50927	0.6
ILMN_1729894	84.78238	0.3688312
ILMN_1743205	284.2999	0
ILMN_2259319	86.01655	0.3155844
ILMN_2129886	74.85615	0.9506493
ILMN_1796801	158.5479	0.01168831
ILMN_1720501	90.87589	0.2
ILMN_1668446	87.88738	0.2623377
ILMN_1812070	124.8729	0.03246753
ILMN_2094875	116.8365	0.04935065
ILMN_1665730	185.6086	0.005194805
ILMN_2232066	85.00809	0.3623376
ILMN_1767349	90.19154	0.2116883
ILMN_1658257	84.49273	0.3766234
ILMN_2193980	128.0919	0.02857143
ILMN_1687840	131.9045	0.02597403
ILMN_2102422	85.95695	0.3168831
ILMN_1788928	92.22231	0.174026
ILMN_2343047	104.4636	0.07662338
ILMN_2343048	91.05949	0.1974026
ILMN_2335302	79.98585	0.6441559
ILMN_1802404	114.0626	0.04935065
ILMN_1776119	116.1948	0.04935065
ILMN_2358714	73.17241	0.9766234
ILMN_1732140	115.9607	0.04935065
ILMN_1713008	74.0859	0.9662338
ILMN_1762093	95.09222	0.138961
ILMN_1709092	97.84708	0.1116883
ILMN_1678409	82.0999	0.4896104
ILMN_1774344	89.00421	0.2337662
ILMN_1676278	94.59064	0.1441558
ILMN_1717466	94.58293	0.1441558
ILMN_1677814	158.7769	0.01038961
ILMN_1788457	95.05396	0.1402597
ILMN_2194009	86.05913	0.3142857
ILMN_2302358	80.16187	0.6207792
ILMN_1706531	237.788	0
ILMN_1651964	187.419	0.005194805
ILMN_1725675	79.33057	0.6857143
ILMN_1778352	79.35175	0.6857143
ILMN_1725414	80.56374	0.5961039
ILMN_2293902	75.05359	0.9441559
ILMN_1801521	80.7777	0.5818182
ILMN_2406654	94.45833	0.1467533
ILMN_3246902	83.93256	0.3948052
ILMN_3244070	100.6682	0.09740259
ILMN_1767129	85.51893	0.338961
ILMN_1746196	90.95136	0.1987013
ILMN_2366473	82.79136	0.4441558
ILMN_1751453	77.97599	0.7844156
ILMN_1772189	101.1052	0.09220779
ILMN_1652959	86.26779	0.3064935
ILMN_2198897	76.43987	0.887013
ILMN_1674032	105.1153	0.07142857
ILMN_1737656	106.894	0.06623377
ILMN_2343917	90.49264	0.2064935
ILMN_1746032	85.77633	0.325974
ILMN_1651501	262.4968	0
ILMN_2330267	178.8239	0.006493506
ILMN_1676846	178.4845	0.006493506
ILMN_2392635	154.0098	0.01298701
ILMN_1763875	337.0863	0
ILMN_2284941	86.11988	0.3116883
