PROBE_ID	7677153059_G.VALUE	7677153059_G.Detection Pval
ILMN_1762337	80.26098	0.3753247
ILMN_2055271	169.0036	0.01948052
ILMN_1736007	84.4064	0.2831169
ILMN_2383229	90.48967	0.2103896
ILMN_1806310	68.94241	0.861039
ILMN_1779670	72.10921	0.687013
ILMN_1653355	85.9868	0.2649351
ILMN_1717783	67.45318	0.9207792
ILMN_1705025	78.97289	0.4103896
ILMN_1814316	80.22317	0.3753247
ILMN_2359168	86.35299	0.2584416
ILMN_1731507	73.06087	0.6454545
ILMN_1787689	75.57085	0.5298702
ILMN_3241953	91.4967	0.2038961
ILMN_1745607	66.97813	0.938961
ILMN_2136495	65.728	0.9779221
ILMN_1668111	75.01307	0.5558441
ILMN_2295559	79.30597	0.4025974
ILMN_1735045	97.13293	0.1584416
ILMN_1680754	77.98355	0.451948
ILMN_2375184	70.38828	0.7961039
ILMN_1659452	82.02618	0.3337662
ILMN_1767388	230.5242	0.007792208
ILMN_1675204	79.08578	0.4051948
ILMN_1673870	102.9859	0.1168831
ILMN_1755321	178.8805	0.01558442
ILMN_1698554	89.23753	0.2207792
ILMN_1814092	86.64879	0.2545455
ILMN_1760414	89.20677	0.2207792
ILMN_2061446	161.6506	0.02207792
ILMN_1676336	122.0034	0.05844156
ILMN_1752884	71.21778	0.7467533
ILMN_1660703	80.55621	0.3675325
ILMN_1668851	75.24894	0.5441558
ILMN_2270015	71.96155	0.6909091
ILMN_1809959	66.70583	0.9441559
ILMN_2357031	65.86162	0.974026
ILMN_1726986	105.7257	0.1077922
ILMN_3237396	186.9648	0.01558442
ILMN_1688755	208.5117	0.009090909
ILMN_1880387	75.09873	0.5545455
ILMN_1689211	82.01935	0.3337662
ILMN_1653165	134.8409	0.04545455
ILMN_1729835	72.12694	0.687013
ILMN_1662364	297.9565	0.001298701
ILMN_1674698	100.918	0.125974
ILMN_1700461	100.4419	0.1311688
ILMN_1784269	104.0369	0.1142857
ILMN_1698189	103.1984	0.1168831
ILMN_2096191	142.3188	0.03896104
ILMN_1678323	71.85003	0.6987013
ILMN_2157219	74.95453	0.561039
ILMN_1703743	320.9088	0
ILMN_1687609	110.0289	0.08961039
ILMN_2068874	71.43385	0.7298701
ILMN_1699334	105.2983	0.1090909
ILMN_1670117	71.3112	0.7376623
ILMN_1805104	84.60547	0.2805195
ILMN_2404407	83.73924	0.2935065
ILMN_1766054	604.7748	0
ILMN_1753388	79.98463	0.3805195
ILMN_2070570	73.29768	0.6324675
ILMN_2232084	91.96288	0.2012987
ILMN_1750250	73.22216	0.6363636
ILMN_2361400	68.03841	0.8974026
ILMN_1704579	72.27779	0.6844156
ILMN_1687636	90.81755	0.2090909
ILMN_1747627	119.5064	0.06623377
ILMN_1758523	75.78012	0.5233766
ILMN_1794965	98.14513	0.1506494
ILMN_1722286	72.22298	0.6857143
ILMN_1784176	88.96635	0.2233766
ILMN_1749001	82.0805	0.3337662
ILMN_1701551	70.79993	0.7714286
ILMN_1795507	73.10539	0.6454545
ILMN_1729894	77.19566	0.4688312
ILMN_1743205	237.5155	0.007792208
ILMN_2259319	82.2159	0.3272727
ILMN_2129886	73.01775	0.648052
ILMN_1796801	186.2892	0.01558442
ILMN_1720501	88.11216	0.2311688
ILMN_1668446	78.96751	0.4103896
ILMN_1812070	77.38064	0.4649351
ILMN_2094875	95.15351	0.1753247
ILMN_1665730	168.6894	0.01948052
ILMN_2232066	86.91638	0.2519481
ILMN_1767349	91.90475	0.2012987
ILMN_1658257	90.36328	0.2103896
ILMN_2193980	158.7535	0.02207792
ILMN_1687840	156.73	0.02597403
ILMN_2102422	69.75881	0.825974
ILMN_1788928	86.77483	0.2532468
ILMN_2343047	105.2225	0.1103896
ILMN_2343048	81.29883	0.3506494
ILMN_2335302	73.30093	0.6324675
ILMN_1802404	98.84292	0.1493506
ILMN_1776119	124.8847	0.05454545
ILMN_2358714	68.16957	0.8974026
ILMN_1732140	142.8557	0.03766234
ILMN_1713008	67.95242	0.9038961
ILMN_1762093	94.77395	0.1779221
ILMN_1709092	115.1187	0.07922078
ILMN_1678409	81.78461	0.3376623
ILMN_1774344	78.97228	0.4103896
ILMN_1676278	99.3255	0.1454545
ILMN_1717466	89.24799	0.2207792
ILMN_1677814	208.1053	0.009090909
ILMN_1788457	96.27733	0.1688312
ILMN_2194009	82.57433	0.3233766
ILMN_2302358	74.58488	0.574026
ILMN_1706531	165.1024	0.02077922
ILMN_1651964	131.0497	0.04935065
ILMN_1725675	76.24287	0.5090909
ILMN_1778352	77.84433	0.4545455
ILMN_1725414	75.47961	0.5311688
ILMN_2293902	69.52885	0.8350649
ILMN_1801521	76.31932	0.5038961
ILMN_2406654	104.8841	0.1103896
ILMN_3246902	82.10995	0.3324675
ILMN_3244070	110.1518	0.08961039
ILMN_1767129	88.14449	0.2311688
ILMN_1746196	73.6753	0.6181818
ILMN_2366473	75.23865	0.5441558
ILMN_1751453	65.43845	0.987013
ILMN_1772189	97.07006	0.1597403
ILMN_1652959	75.18757	0.5467532
ILMN_2198897	69.47525	0.8363636
ILMN_1674032	94.40497	0.1818182
ILMN_1737656	104.7362	0.112987
ILMN_2343917	101.0535	0.125974
ILMN_1746032	71.69051	0.7103896
ILMN_1651501	246.8534	0.005194805
ILMN_2330267	168.8929	0.01948052
ILMN_1676846	180.1443	0.01558442
ILMN_2392635	140.0328	0.04025974
ILMN_1763875	285.8746	0.001298701
ILMN_2284941	79.26794	0.4025974
ILMN_1781999	114.914	0.07922078
ILMN_1669201	87.14541	0.2506494
ILMN_1810085	94.04355	0.1844156
ILMN_2262362	69.89629	0.8194805
ILMN_1743638	69.94722	0.812987
ILMN_1658176	109.4108	0.09220779
ILMN_2329927	121.9424	0.05844156
ILMN_1794782	188.6773	0.01558442
ILMN_1695968	81.69759	0.3402597
ILMN_1789641	64.24743	0.9974026
ILMN_1779470	324.3727	0
ILMN_1716592	85.90869	0.2675325
ILMN_1680309	75.81725	0.5207792
ILMN_1743371	74.72036	0.5662338
ILMN_1770031	130.6726	0.04935065
ILMN_2338268	94.95393	0.1753247
ILMN_1753912	83.17883	0.3090909
ILMN_1737475	81.95952	0.3350649
ILMN_1745116	82.71995	0.3220779
ILMN_2318685	86.52102	0.2571429
ILMN_2245305	104.6948	0.112987
ILMN_1707925	86.11289	0.2649351
ILMN_1698311	75.40119	0.5363637
ILMN_2367487	81.93858	0.3350649
ILMN_1785285	76.82493	0.4818182
ILMN_2073969	82.23003	0.3272727
ILMN_1794213	236.1299	0.007792208
ILMN_2227533	89.29793	0.2194805
ILMN_1769390	97.3827	0.1558442
ILMN_2403446	115.0925	0.07922078
ILMN_1787618	72.21112	0.6857143
ILMN_1723662	117.9898	0.06883117
ILMN_1801767	419.5948	0
ILMN_1700633	216.3436	0.007792208
ILMN_1655702	420.1906	0
ILMN_1706344	88.42542	0.2298701
ILMN_1719498	79.62822	0.3922078
ILMN_1712707	144.2122	0.03766234
ILMN_1699750	220.8541	0.007792208
ILMN_1739081	254.4945	0.003896104
ILMN_2329958	403.9229	0
ILMN_1775944	75.16872	0.548052
ILMN_1724497	112.7363	0.08571429
ILMN_1720988	84.23779	0.2857143
ILMN_1707274	68.58653	0.874026
ILMN_1755658	163.6331	0.02207792
ILMN_1673639	76.57081	0.4922078
ILMN_1713732	192.1593	0.01428571
ILMN_1708922	161.7422	0.02207792
ILMN_2268241	80.08972	0.3753247
ILMN_1741628	87.28764	0.2428571
ILMN_1657870	114.1314	0.08311688
ILMN_2240003	70.15211	0.8038961
ILMN_1785424	300.4457	0
ILMN_1731610	110.7458	0.08961039
ILMN_1696682	75.52641	0.5298702
ILMN_2396672	182.1416	0.01558442
ILMN_1758825	131.3069	0.04935065
ILMN_1656940	92.923	0.1922078
ILMN_1656979	125.1122	0.05454545
ILMN_1731433	227.7315	0.007792208
ILMN_1672878	552.7488	0
ILMN_1655114	115.3498	0.07922078
ILMN_1657045	77.4906	0.4636364
ILMN_1766991	74.51131	0.5766234
ILMN_1658083	99.88584	0.138961
ILMN_1802096	1399.077	0
ILMN_2367165	847.2262	0
ILMN_1753370	116.3494	0.07662338
ILMN_1738921	378.5756	0
ILMN_1660199	158.5421	0.02207792
ILMN_2331636	109.4526	0.09220779
ILMN_1772123	116.6196	0.07532468
ILMN_1667641	68.51112	0.8792208
ILMN_1763852	91.09241	0.2077922
ILMN_1687303	126.3003	0.05454545
ILMN_1761058	163.3426	0.02207792
ILMN_2225595	161.4348	0.02207792
ILMN_1724699	74.03381	0.5935065
ILMN_1775579	117.3389	0.07272727
ILMN_1660890	74.11533	0.5896104
ILMN_1778104	156.6257	0.02597403
ILMN_2053679	265.1848	0.002597403
ILMN_1795104	254.0877	0.003896104
ILMN_1740920	82.75026	0.3220779
ILMN_2263466	129.087	0.05324675
ILMN_1806408	1149.755	0
ILMN_2352009	224.2126	0.007792208
ILMN_1693148	71.52608	0.7194805
ILMN_1808395	293.2855	0.001298701
ILMN_3236270	478.2076	0
ILMN_1743847	87.36272	0.2415584
ILMN_1800008	187.7476	0.01558442
ILMN_2133799	80.37714	0.3701299
ILMN_1708672	148.2834	0.03116883
ILMN_1665945	246.3146	0.005194805
ILMN_1676288	94.29315	0.1831169
ILMN_1693250	97.67439	0.1532468
ILMN_2295980	98.08595	0.1506494
ILMN_2410362	103.9205	0.1142857
ILMN_1684271	98.31004	0.1506494
ILMN_1726388	66.06728	0.9649351
ILMN_2106002	101.0254	0.125974
ILMN_1779685	110.9461	0.08961039
ILMN_1665932	91.99084	0.2
ILMN_1769694	78.67068	0.4246753
ILMN_1727251	103.8458	0.1142857
ILMN_1734479	80.39063	0.3701299
ILMN_2368728	135.8398	0.04415584
ILMN_2394897	75.9364	0.5194805
ILMN_2394902	83.46834	0.3025974
ILMN_2287535	91.30693	0.2051948
ILMN_1750295	105.2689	0.1090909
ILMN_3187680	133.3369	0.04675325
ILMN_3242266	94.6468	0.1792208
ILMN_1780630	143.4264	0.03766234
ILMN_1716480	147.3295	0.03246753
ILMN_1715192	86.59069	0.2558441
ILMN_2339410	73.58862	0.6181818
ILMN_1779984	73.58937	0.6181818
ILMN_1667018	106.8244	0.1
ILMN_1773243	68.01347	0.9
ILMN_3241214	117.5823	0.07142857
ILMN_3235340	95.61176	0.1701299
ILMN_1761000	86.52438	0.2571429
ILMN_3237774	139.9363	0.04025974
ILMN_2333219	67.8675	0.9090909
ILMN_1780485	108.6809	0.0961039
ILMN_1735471	206.1418	0.01038961
ILMN_1699636	394.211	0
ILMN_2371379	361.9413	0
ILMN_1749014	198.9983	0.01038961
ILMN_1727091	75.93652	0.5194805
ILMN_1771348	131.5857	0.04935065
ILMN_2134039	3906.917	0
ILMN_1750800	188.5481	0.01558442
ILMN_1654861	123.6017	0.05584415
ILMN_2121389	70.18935	0.8025974
ILMN_1715543	79.34003	0.4012987
ILMN_1739594	88.34453	0.2298701
ILMN_2353978	67.58286	0.9155844
ILMN_1785474	144.8832	0.03506494
ILMN_2188959	96.44878	0.1649351
ILMN_1716237	145.517	0.03506494
ILMN_1764321	78.57439	0.425974
ILMN_2156699	71.75005	0.7051948
ILMN_1784756	93.13596	0.1922078
ILMN_1728883	77.28627	0.4662338
ILMN_1740265	99.4413	0.1415584
ILMN_1788078	75.13217	0.5506493
ILMN_2252621	75.90528	0.5194805
ILMN_2332250	74.63513	0.5714286
ILMN_1719178	83.43995	0.3025974
ILMN_1679600	99.13019	0.1480519
ILMN_2367070	145.326	0.03506494
ILMN_1658995	226.119	0.007792208
ILMN_1750158	269.7306	0.002597403
ILMN_1668839	96.14294	0.1688312
ILMN_1765767	135.8768	0.04415584
ILMN_1685703	78.36062	0.4337662
ILMN_1743396	104.7003	0.112987
ILMN_1743680	64.27995	0.9974026
ILMN_1669633	253.0634	0.005194805
ILMN_2344956	728.0537	0
ILMN_2104830	119.071	0.06623377
ILMN_2078599	92.62781	0.1935065
ILMN_2234343	81.24949	0.3519481
ILMN_1706598	122.4417	0.05714286
ILMN_2306955	120.2506	0.06623377
ILMN_1758323	165.5953	0.02077922
ILMN_1728331	309.1508	0
ILMN_2351906	75.57955	0.5298702
ILMN_1705637	203.4972	0.01038961
ILMN_1784203	163.9876	0.02207792
ILMN_1666690	98.0016	0.1506494
ILMN_1654468	242.8434	0.006493506
ILMN_2320277	114.3645	0.08181818
ILMN_2227011	78.76678	0.4207792
ILMN_1730002	102.4812	0.1168831
ILMN_3236756	83.42692	0.3025974
ILMN_1716832	85.17834	0.2714286
ILMN_1684585	2719.604	0
ILMN_2360705	300.7701	0
ILMN_1654414	105.9993	0.1051948
ILMN_1666096	113.4968	0.08311688
ILMN_2391458	143.6482	0.03766234
ILMN_2285506	103.4254	0.1155844
ILMN_1691714	93.42945	0.1922078
ILMN_1683598	659.194	0
ILMN_2370882	145.1816	0.03506494
ILMN_2273911	69.40333	0.8415585
ILMN_1807914	70.70267	0.7792208
ILMN_1678517	75.30224	0.5402597
ILMN_1705247	352.9331	0
ILMN_1737418	94.84595	0.1753247
ILMN_2278242	72.7379	0.6584415
ILMN_1730025	75.62099	0.5285714
ILMN_2378555	134.4033	0.04675325
ILMN_1661434	72.23802	0.6857143
ILMN_1809623	73.60565	0.6181818
ILMN_1657592	71.11035	0.7545455
ILMN_1765912	77.84554	0.4545455
ILMN_1746128	68.79504	0.8662338
ILMN_1685952	77.26957	0.4662338
ILMN_1662738	72.65193	0.6610389
ILMN_1771084	85.93421	0.2675325
ILMN_1791923	72.604	0.6636364
ILMN_1801698	68.34381	0.8896104
ILMN_1766966	76.31064	0.5051948
ILMN_2070792	89.49529	0.2194805
ILMN_1752269	128.2295	0.05324675
