PROBE_ID	7677153059_J.VALUE	7677153059_J.Detection Pval
ILMN_1762337	77.23278	0.3662338
ILMN_2055271	137.1586	0.02987013
ILMN_1736007	77.82498	0.3454545
ILMN_2383229	78.11346	0.3415585
ILMN_1806310	70.41364	0.7441558
ILMN_1779670	70.95042	0.7103896
ILMN_1653355	78.79512	0.3233766
ILMN_1717783	67.35818	0.9038961
ILMN_1705025	69.54207	0.7909091
ILMN_1814316	74.63591	0.5064935
ILMN_2359168	84.02201	0.2090909
ILMN_1731507	66.98361	0.9116883
ILMN_1787689	71.68674	0.6597403
ILMN_3241953	99.75504	0.07402597
ILMN_1745607	73.85876	0.5415584
ILMN_2136495	71.81004	0.6493506
ILMN_1668111	69.86291	0.7766234
ILMN_2295559	74.31824	0.5194805
ILMN_1735045	86.57265	0.1753247
ILMN_1680754	75.6322	0.451948
ILMN_2375184	78.67147	0.3272727
ILMN_1659452	78.77635	0.3246753
ILMN_1767388	134.8674	0.03116883
ILMN_1675204	80.13945	0.2818182
ILMN_1673870	89.49391	0.1350649
ILMN_1755321	149.3866	0.02077922
ILMN_1698554	90.0433	0.1311688
ILMN_1814092	77.9414	0.3441558
ILMN_1760414	77.89594	0.3441558
ILMN_2061446	173.8968	0.009090909
ILMN_1676336	115.7376	0.04415584
ILMN_1752884	66.97971	0.912987
ILMN_1660703	71.71705	0.6571429
ILMN_1668851	67.56644	0.8961039
ILMN_2270015	71.37283	0.6818182
ILMN_1809959	62.4773	0.9961039
ILMN_2357031	73.57282	0.5597402
ILMN_1726986	101.3957	0.06623377
ILMN_3237396	162.84	0.01298701
ILMN_1688755	405.6559	0
ILMN_1880387	78.04703	0.3428572
ILMN_1689211	77.64855	0.3506494
ILMN_1653165	136.9777	0.02987013
ILMN_1729835	75.63897	0.451948
ILMN_1662364	369.5831	0
ILMN_1674698	113.8453	0.04805195
ILMN_1700461	120.4132	0.04415584
ILMN_1784269	125.0263	0.03896104
ILMN_1698189	108.5182	0.05454545
ILMN_2096191	197.4152	0.005194805
ILMN_1678323	78.0573	0.3428572
ILMN_2157219	75.95464	0.4363636
ILMN_1703743	338.8932	0
ILMN_1687609	97.83866	0.08181818
ILMN_2068874	78.51187	0.3285714
ILMN_1699334	98.67402	0.07792208
ILMN_1670117	71.64054	0.6636364
ILMN_1805104	103.52	0.06493507
ILMN_2404407	97.05342	0.08441558
ILMN_1766054	531.8088	0
ILMN_1753388	79.36092	0.3012987
ILMN_2070570	80.77965	0.2688312
ILMN_2232084	91.5782	0.1220779
ILMN_1750250	72.80312	0.587013
ILMN_2361400	64.52608	0.9792208
ILMN_1704579	70.8133	0.7168831
ILMN_1687636	80.69169	0.2714286
ILMN_1747627	185.1515	0.006493506
ILMN_1758523	79.09069	0.3077922
ILMN_1794965	84.24328	0.2051948
ILMN_1722286	77.74938	0.3480519
ILMN_1784176	87.26829	0.1675325
ILMN_1749001	85.20969	0.1922078
ILMN_1701551	75.89477	0.4402598
ILMN_1795507	71.1811	0.6922078
ILMN_1729894	73.62444	0.5558441
ILMN_1743205	318.9611	0
ILMN_2259319	83.66962	0.2168831
ILMN_2129886	77.69595	0.3493507
ILMN_1796801	146.1936	0.02077922
ILMN_1720501	87.75539	0.1636364
ILMN_1668446	72.74662	0.5896104
ILMN_1812070	116.934	0.04415584
ILMN_2094875	118.7283	0.04415584
ILMN_1665730	174.9318	0.009090909
ILMN_2232066	77.32994	0.3636364
ILMN_1767349	94.01183	0.1077922
ILMN_1658257	86.1233	0.1844156
ILMN_2193980	125.7354	0.03506494
ILMN_1687840	171.336	0.009090909
ILMN_2102422	77.95231	0.3428572
ILMN_1788928	76.22955	0.4064935
ILMN_2343047	101.8392	0.06623377
ILMN_2343048	101.9225	0.06623377
ILMN_2335302	71.27325	0.6896104
ILMN_1802404	107.8711	0.05454545
ILMN_1776119	133.7292	0.03116883
ILMN_2358714	66.575	0.9233766
ILMN_1732140	120.8741	0.04415584
ILMN_1713008	70.83147	0.7155844
ILMN_1762093	83.40491	0.2181818
ILMN_1709092	92.64813	0.1142857
ILMN_1678409	82.44297	0.2324675
ILMN_1774344	76.39518	0.3961039
ILMN_1676278	86.48747	0.1753247
ILMN_1717466	90.22117	0.1298701
ILMN_1677814	203.3945	0.005194805
ILMN_1788457	127.5347	0.03506494
ILMN_2194009	117.3233	0.04415584
ILMN_2302358	69.04828	0.8142857
ILMN_1706531	168.9977	0.01038961
ILMN_1651964	123.0843	0.04025974
ILMN_1725675	69.77652	0.7792208
ILMN_1778352	76.89209	0.3805195
ILMN_1725414	73.82021	0.5441558
ILMN_2293902	68.88787	0.8311688
ILMN_1801521	69.59543	0.7896104
ILMN_2406654	86.36768	0.1805195
ILMN_3246902	77.96832	0.3428572
ILMN_3244070	92.56476	0.1142857
ILMN_1767129	82.33217	0.2350649
ILMN_1746196	75.51173	0.4584416
ILMN_2366473	74.08137	0.5298702
ILMN_1751453	68.52575	0.8506494
ILMN_1772189	99.35739	0.07532468
ILMN_1652959	78.15413	0.3415585
ILMN_2198897	70.77763	0.7168831
ILMN_1674032	100.6773	0.07012987
ILMN_1737656	90.91391	0.125974
ILMN_2343917	83.34984	0.2181818
ILMN_1746032	79.41035	0.3012987
ILMN_1651501	252.7318	0.001298701
ILMN_2330267	212.6195	0.003896104
ILMN_1676846	212.6677	0.003896104
ILMN_2392635	186.0561	0.006493506
ILMN_1763875	385.7857	0
ILMN_2284941	83.07325	0.2246753
ILMN_1781999	101.6285	0.06623377
ILMN_1669201	92.19322	0.1142857
ILMN_1810085	89.72827	0.1350649
ILMN_2262362	72.50654	0.6116883
ILMN_1743638	78.35435	0.3350649
ILMN_1658176	92.06168	0.1155844
ILMN_2329927	112.4615	0.04805195
ILMN_1794782	199.7771	0.005194805
ILMN_1695968	72.31104	0.6181818
ILMN_1789641	70.31294	0.7519481
