PROBE_ID	7677153059_K.VALUE	7677153059_K.Detection Pval
ILMN_1762337	95.10406	0.6038961
ILMN_2055271	139.2399	0.03376623
ILMN_1736007	94.2779	0.6233766
ILMN_2383229	119.0469	0.112987
ILMN_1806310	104.9946	0.3012987
ILMN_1779670	92.21678	0.6935065
ILMN_1653355	127.5413	0.05974026
ILMN_1717783	83.82668	0.925974
ILMN_1705025	113.3759	0.1714286
ILMN_1814316	109.6461	0.2116883
ILMN_2359168	95.72496	0.5831169
ILMN_1731507	90.49469	0.7441558
ILMN_1787689	90.90157	0.725974
ILMN_3241953	101.8159	0.3805195
ILMN_1745607	88.03783	0.8142857
ILMN_2136495	76.49727	0.9935065
ILMN_1668111	98.53129	0.4896104
ILMN_2295559	100.124	0.4337662
ILMN_1735045	105.6942	0.287013
ILMN_1680754	82.78661	0.9363636
ILMN_2375184	86.48951	0.861039
ILMN_1659452	107.5264	0.2558441
ILMN_1767388	192.3805	0.007792208
ILMN_1675204	106.6866	0.2688312
ILMN_1673870	89.9846	0.761039
ILMN_1755321	140.7572	0.03376623
ILMN_1698554	103.5428	0.3363636
ILMN_1814092	100.3209	0.4285714
ILMN_1760414	102.5326	0.3649351
ILMN_2061446	145.2979	0.03246753
ILMN_1676336	119.487	0.1116883
ILMN_1752884	90.16731	0.7519481
ILMN_1660703	97.56233	0.5194805
ILMN_1668851	84.35043	0.9155844
ILMN_2270015	90.60278	0.7402598
ILMN_1809959	87.6124	0.8246753
ILMN_2357031	98.2617	0.4987013
ILMN_1726986	123.079	0.08311688
ILMN_3237396	180.3633	0.01038961
ILMN_1688755	361.6119	0
ILMN_1880387	101.9501	0.3805195
ILMN_1689211	90.45407	0.7454545
ILMN_1653165	148.8493	0.02857143
ILMN_1729835	100.554	0.4220779
ILMN_1662364	368.439	0
ILMN_1674698	135.4638	0.03896104
ILMN_1700461	133.3972	0.03896104
ILMN_1784269	141.0888	0.03376623
ILMN_1698189	134.6589	0.03896104
ILMN_2096191	206.4818	0.002597403
ILMN_1678323	96.35194	0.5623376
ILMN_2157219	98.50286	0.4909091
ILMN_1703743	306.0819	0
ILMN_1687609	131.1338	0.04675325
ILMN_2068874	108.3936	0.2324675
ILMN_1699334	119.072	0.112987
ILMN_1670117	84.46365	0.9103896
ILMN_1805104	98.12233	0.5012987
ILMN_2404407	86.07423	0.8688312
ILMN_1766054	574.2591	0
