PROBE_ID	7677153059_L.VALUE	7677153059_L.Detection Pval
ILMN_1762337	115.8537	0.1753247
ILMN_2055271	168.2478	0.01298701
ILMN_1736007	104.3118	0.451948
ILMN_2383229	122.5696	0.1
ILMN_1806310	108.6652	0.3142857
ILMN_1779670	96.09847	0.8246753
ILMN_1653355	115.788	0.1753247
ILMN_1717783	97.52683	0.7779221
ILMN_1705025	108.8876	0.3038961
ILMN_1814316	104.8809	0.4311688
ILMN_2359168	112.549	0.2207792
ILMN_1731507	95.78473	0.8376623
ILMN_1787689	111.9205	0.2337662
ILMN_3241953	113.3906	0.2012987
ILMN_1745607	89.02145	0.9831169
ILMN_2136495	102.0556	0.5597402
ILMN_1668111	103.4483	0.4896104
ILMN_2295559	105.6237	0.4064935
ILMN_1735045	109.8755	0.2792208
ILMN_1680754	106.8887	0.3649351
ILMN_2375184	103.6897	0.4805195
ILMN_1659452	114.6154	0.1883117
ILMN_1767388	180.4771	0.009090909
ILMN_1675204	104.4303	0.4441558
ILMN_1673870	114.3229	0.1922078
ILMN_1755321	157.4294	0.02077922
ILMN_1698554	108.114	0.3298701
ILMN_1814092	103.3968	0.4922078
ILMN_1760414	116.8512	0.1636364
ILMN_2061446	159.3592	0.01818182
ILMN_1676336	129.091	0.06623377
ILMN_1752884	108.2715	0.3246753
ILMN_1660703	100.3373	0.6545454
ILMN_1668851	98.0616	0.7584416
ILMN_2270015	117.1342	0.1571429
ILMN_1809959	96.24082	0.812987
ILMN_2357031	94.31357	0.9
ILMN_1726986	123.9445	0.08831169
ILMN_3237396	161.147	0.01818182
ILMN_1688755	301.2823	0
ILMN_1880387	104.7765	0.4324675
ILMN_1689211	106.665	0.3714286
ILMN_1653165	136.973	0.04805195
ILMN_1729835	95.97858	0.8311688
ILMN_1662364	317.7612	0
ILMN_1674698	132.0788	0.05974026
ILMN_1700461	145.729	0.03636364
ILMN_1784269	132.7549	0.05714286
ILMN_1698189	132.6962	0.05714286
ILMN_2096191	159.4778	0.01818182
ILMN_1678323	96.83655	0.7961039
ILMN_2157219	106.5521	0.3753247
ILMN_1703743	280.7305	0
ILMN_1687609	106.2077	0.3844156
ILMN_2068874	107.6193	0.3415585
ILMN_1699334	122.2778	0.1064935
ILMN_1670117	98.84711	0.7298701
ILMN_1805104	109.3055	0.2948052
ILMN_2404407	94.50508	0.8896104
ILMN_1766054	378.7545	0
ILMN_1753388	101.2486	0.6090909
ILMN_2070570	93.18233	0.9311689
ILMN_2232084	113.3237	0.2051948
ILMN_1750250	99.49458	0.7025974
ILMN_2361400	87.06888	0.9896104
ILMN_1704579	103.5704	0.4831169
ILMN_1687636	114.8456	0.1857143
ILMN_1747627	152.7231	0.02337662
ILMN_1758523	107.7293	0.3363636
ILMN_1794965	110.5869	0.2662338
ILMN_1722286	100.9931	0.6155844
ILMN_1784176	116.5045	0.1649351
ILMN_1749001	101.8776	0.5727273
ILMN_1701551	97.9286	0.761039
ILMN_1795507	104.4989	0.4428571
ILMN_1729894	98.0819	0.7584416
ILMN_1743205	349.098	0
ILMN_2259319	114.3174	0.1922078
ILMN_2129886	93.80775	0.9194805
ILMN_1796801	171.4945	0.01038961
ILMN_1720501	109.4341	0.2935065
ILMN_1668446	99.72405	0.6909091
ILMN_1812070	128.0965	0.07272727
ILMN_2094875	128.2516	0.07272727
ILMN_1665730	160.4992	0.01818182
ILMN_2232066	107.8042	0.3363636
ILMN_1767349	116.7695	0.1636364
ILMN_1658257	98.43893	0.7519481
ILMN_2193980	140.0644	0.04285714
ILMN_1687840	191.2621	0.006493506
ILMN_2102422	98.98762	0.7220779
ILMN_1788928	119.8482	0.1220779
ILMN_2343047	119.4168	0.1311688
ILMN_2343048	106.7989	0.3714286
ILMN_2335302	101.1977	0.6103896
ILMN_1802404	117.7076	0.151948
ILMN_1776119	141.8675	0.03896104
ILMN_2358714	91.41626	0.9571428
ILMN_1732140	120.9418	0.112987
ILMN_1713008	101.8433	0.5753247
ILMN_1762093	113.3592	0.2038961
ILMN_1709092	117.2059	0.1571429
ILMN_1678409	106.4455	0.3779221
ILMN_1774344	106.0491	0.387013
ILMN_1676278	118.3271	0.1402597
ILMN_1717466	110.1897	0.2753247
ILMN_1677814	200.2644	0.005194805
ILMN_1788457	133.9476	0.05584415
ILMN_2194009	112.9247	0.2194805
ILMN_2302358	99.02034	0.7220779
ILMN_1706531	171.567	0.01038961
ILMN_1651964	131.9241	0.05974026
ILMN_1725675	106.3031	0.3831169
ILMN_1778352	95.48618	0.8506494
ILMN_1725414	91.0254	0.9584416
ILMN_2293902	93.05206	0.9350649
ILMN_1801521	103.6273	0.4831169
ILMN_2406654	115.5607	0.1766234
ILMN_3246902	96.12781	0.8194805
ILMN_3244070	122.0456	0.1077922
ILMN_1767129	105.0653	0.4246753
ILMN_1746196	111.362	0.2506494
ILMN_2366473	101.7235	0.5805195
ILMN_1751453	102.9817	0.5116883
ILMN_1772189	117.0008	0.1597403
ILMN_1652959	101.8139	0.5753247
ILMN_2198897	103.21	0.5025974
ILMN_1674032	113.5453	0.1974026
ILMN_1737656	126.2735	0.07792208
ILMN_2343917	103.0059	0.5116883
ILMN_1746032	108.0478	0.3298701
ILMN_1651501	217.8128	0.005194805
ILMN_2330267	171.6298	0.01038961
ILMN_1676846	197.3377	0.005194805
ILMN_2392635	189.9379	0.007792208
ILMN_1763875	300.9257	0
ILMN_2284941	103.0727	0.5077922
ILMN_1781999	142.0403	0.03896104
ILMN_1669201	121.4195	0.1090909
ILMN_1810085	117.2927	0.1558442
ILMN_2262362	98.21261	0.7558442
ILMN_1743638	92.35225	0.9480519
ILMN_1658176	128.3685	0.07142857
ILMN_2329927	121.0535	0.1116883
ILMN_1794782	164.8904	0.01428571
ILMN_1695968	104.9759	0.4272727
ILMN_1789641	94.57319	0.8883117
ILMN_1779470	250.4637	0
ILMN_1716592	109.68	0.287013
ILMN_1680309	112.0275	0.2324675
ILMN_1743371	105.8522	0.3935065
ILMN_1770031	140.6975	0.04285714
ILMN_2338268	138.4302	0.04805195
ILMN_1753912	104.728	0.4337662
ILMN_1737475	94.52916	0.8896104
ILMN_1745116	123.5906	0.09220779
ILMN_2318685	124.5532	0.08571429
ILMN_2245305	125.8936	0.07922078
ILMN_1707925	102.7223	0.5285714
ILMN_1698311	99.54894	0.7025974
ILMN_2367487	95.43995	0.8532467
ILMN_1785285	103.1018	0.5077922
ILMN_2073969	108.5198	0.3207792
ILMN_1794213	210.0999	0.005194805
ILMN_2227533	114.1648	0.1922078
ILMN_1769390	139.5707	0.04415584
ILMN_2403446	116.6546	0.1649351
ILMN_1787618	96.92294	0.7922078
ILMN_1723662	126.6784	0.07792208
ILMN_1801767	290.7203	0
ILMN_1700633	181.5322	0.009090909
ILMN_1655702	317.0209	0
ILMN_1706344	121.0558	0.1116883
ILMN_1719498	106.1991	0.3844156
ILMN_1712707	133.2978	0.05714286
ILMN_1699750	191.1133	0.006493506
ILMN_1739081	200.0956	0.005194805
ILMN_2329958	318.1856	0
ILMN_1775944	109.7754	0.2831169
ILMN_1724497	131.6392	0.05974026
ILMN_1720988	99.68473	0.6935065
ILMN_1707274	93.88763	0.9168831
ILMN_1755658	186.1522	0.007792208
ILMN_1673639	90.67258	0.9688312
ILMN_1713732	171.3831	0.01038961
ILMN_1708922	137.1797	0.04805195
ILMN_2268241	104.4931	0.4428571
ILMN_1741628	106.935	0.3636364
ILMN_1657870	131.6125	0.05974026
ILMN_2240003	96.22329	0.8142857
ILMN_1785424	399.4236	0
ILMN_1731610	125.2698	0.08441558
ILMN_1696682	97.48711	0.7792208
ILMN_2396672	201.247	0.005194805
ILMN_1758825	127.7992	0.07532468
ILMN_1656940	108.8347	0.3051948
ILMN_1656979	128.0539	0.07272727
ILMN_1731433	195.2037	0.005194805
ILMN_1672878	532.8173	0
ILMN_1655114	129.3701	0.06493507
ILMN_1657045	95.8278	0.8363636
ILMN_1766991	91.85225	0.9558442
ILMN_1658083	117.2756	0.1558442
ILMN_1802096	1154.95	0
ILMN_2367165	676.476	0
ILMN_1753370	132.2327	0.05974026
ILMN_1738921	332.1692	0
ILMN_1660199	150.195	0.02467532
ILMN_2331636	133.7518	0.05584415
ILMN_1772123	141.7111	0.04025974
ILMN_1667641	95.7625	0.8376623
ILMN_1763852	112.4716	0.2220779
ILMN_1687303	127.2493	0.07662338
