PROBE_ID	7677153062_B.VALUE	7677153062_B.Detection Pval
ILMN_1762337	82.2287	0.3779221
ILMN_2055271	162.6048	0.02467532
ILMN_1736007	83.69144	0.3298701
ILMN_2383229	91.63761	0.1948052
ILMN_1806310	77.71105	0.5402597
ILMN_1779670	78.86465	0.4818182
ILMN_1653355	86.5835	0.2714286
ILMN_1717783	73.31684	0.8194805
ILMN_1705025	81.97958	0.3792208
ILMN_1814316	82.67764	0.361039
ILMN_2359168	84.54349	0.3116883
ILMN_1731507	75.71842	0.6610389
ILMN_1787689	77.66244	0.5428572
ILMN_3241953	93.40339	0.1753247
ILMN_1745607	77.59152	0.5467532
ILMN_2136495	75.77069	0.6558442
ILMN_1668111	84.13101	0.3207792
ILMN_2295559	73.89914	0.7974026
ILMN_1735045	96.89388	0.1493506
ILMN_1680754	76.68057	0.6064935
ILMN_2375184	76.4381	0.6181818
ILMN_1659452	88.70897	0.2415584
ILMN_1767388	194.7025	0.009090909
ILMN_1675204	83.07956	0.3480519
ILMN_1673870	99.30447	0.1324675
ILMN_1755321	159.83	0.02467532
ILMN_1698554	96.92263	0.1493506
ILMN_1814092	89.00938	0.238961
ILMN_1760414	84.37605	0.3168831
ILMN_2061446	148.7832	0.03246753
ILMN_1676336	109.5077	0.08051948
ILMN_1752884	74.67708	0.7441558
ILMN_1660703	78.2495	0.5090909
ILMN_1668851	71.20923	0.9233766
ILMN_2270015	74.80697	0.7324675
ILMN_1809959	72.4769	0.864935
ILMN_2357031	76.50764	0.6155844
ILMN_1726986	113.7243	0.06883117
ILMN_3237396	166.7846	0.02337662
ILMN_1688755	298.4248	0.001298701
ILMN_1880387	77.50857	0.5493507
ILMN_1689211	84.66036	0.3103896
ILMN_1653165	125.8062	0.05324675
ILMN_1729835	76.52171	0.6155844
ILMN_1662364	309.9764	0
ILMN_1674698	112.303	0.07142857
ILMN_1700461	115.8886	0.06623377
ILMN_1784269	115.1272	0.06753246
ILMN_1698189	111.8832	0.07402597
ILMN_2096191	155.4482	0.02597403
ILMN_1678323	75.81232	0.6545454
ILMN_2157219	78.59177	0.4948052
ILMN_1703743	307.0518	0
ILMN_1687609	116.0969	0.06623377
ILMN_2068874	72.96489	0.8402597
ILMN_1699334	121.3875	0.05714286
ILMN_1670117	71.55359	0.912987
ILMN_1805104	100.893	0.1207792
ILMN_2404407	89.19347	0.2311688
ILMN_1766054	690.9498	0
ILMN_1753388	78.07724	0.5194805
ILMN_2070570	75.58903	0.6753247
ILMN_2232084	92.0087	0.1909091
ILMN_1750250	76.39415	0.6194805
