PROBE_ID	7677153062_E.VALUE	7677153062_E.Detection Pval
ILMN_1762337	80.34061	0.3467532
ILMN_2055271	145.075	0.02857143
ILMN_1736007	77.5022	0.4324675
ILMN_2383229	84.35542	0.2662338
ILMN_1806310	71.1523	0.7766234
ILMN_1779670	74.19405	0.5766234
ILMN_1653355	83.50101	0.2792208
ILMN_1717783	73.34457	0.6194805
ILMN_1705025	79.96803	0.3571429
ILMN_1814316	80.05207	0.3558442
ILMN_2359168	82.94259	0.2857143
ILMN_1731507	70.62108	0.8116883
ILMN_1787689	79.468	0.3766234
ILMN_3241953	88.62492	0.2051948
ILMN_1745607	69.96904	0.848052
ILMN_2136495	74.87402	0.5519481
ILMN_1668111	70.85088	0.7935065
ILMN_2295559	69.20354	0.8766234
ILMN_1735045	89.89387	0.1883117
ILMN_1680754	80.90685	0.3272727
ILMN_2375184	75.08081	0.548052
ILMN_1659452	84.58215	0.261039
ILMN_1767388	194.9168	0.007792208
ILMN_1675204	81.77006	0.3103896
ILMN_1673870	90.5527	0.1818182
ILMN_1755321	155.7514	0.01818182
ILMN_1698554	88.75275	0.2025974
ILMN_1814092	81.67261	0.312987
ILMN_1760414	80.96648	0.3272727
ILMN_2061446	171.0379	0.01298701
ILMN_1676336	101.21	0.1
ILMN_1752884	73.31696	0.6233766
ILMN_1660703	79.07858	0.3883117
ILMN_1668851	72.8739	0.651948
ILMN_2270015	70.38506	0.8246753
ILMN_1809959	68.48767	0.9038961
ILMN_2357031	70.47927	0.8168831
ILMN_1726986	104.6241	0.08961039
ILMN_3237396	160.9902	0.01818182
ILMN_1688755	314.4818	0
ILMN_1880387	70.4493	0.8207792
ILMN_1689211	83.97302	0.2727273
ILMN_1653165	114.6979	0.06103896
ILMN_1729835	78.95685	0.3896104
ILMN_1662364	403.6002	0
ILMN_1674698	117.2426	0.05584415
ILMN_1700461	107.1153	0.08181818
ILMN_1784269	130.9674	0.04415584
ILMN_1698189	116.2909	0.05714286
ILMN_2096191	160.7156	0.01818182
ILMN_1678323	70.76592	0.8012987
ILMN_2157219	77.97424	0.4220779
ILMN_1703743	253.4182	0.003896104
ILMN_1687609	105.5527	0.08701298
ILMN_2068874	73.99329	0.5805195
ILMN_1699334	111.3648	0.07272727
ILMN_1670117	66.34339	0.9714286
ILMN_1805104	92.19849	0.1558442
ILMN_2404407	92.5136	0.1532468
ILMN_1766054	669.097	0
ILMN_1753388	80.67156	0.3350649
ILMN_2070570	79.72871	0.3675325
ILMN_2232084	96.0755	0.1298701
ILMN_1750250	78.25997	0.412987
ILMN_2361400	72.39879	0.6831169
